artifact_id,source_status,sha256,disposition,public_replacement,note
ai4us-artifact-sha256-8daa1a89bc863484e10a0c5263c99c2cd7b896dd55c62e90b8b0ae02acf94313,bundled,8daa1a89bc863484e10a0c5263c99c2cd7b896dd55c62e90b8b0ae02acf94313,author_side_manifest_identity_with_reader_successor,data/figure_sources/supplementary/FigS01/manifest.json,The author-side artifact is identified by hash; the listed public reader manifest is current.
ai4us-artifact-sha256-c36a371293619d27e0154b4f9ba135be46b3ecf7f84ee76b43c15e233a56ef44,bundled,c36a371293619d27e0154b4f9ba135be46b3ecf7f84ee76b43c15e233a56ef44,bundled_hash_exact,data/figure_sources/supplementary/FigS01/FigS01.source.csv,The bundled public artifact retains the recorded SHA-256.
ai4us-artifact-sha256-e5cb0b49cc9835e1d364b662db1950513ea5ed1fe35aec48f28056ae054a5cd4,bundled,e5cb0b49cc9835e1d364b662db1950513ea5ed1fe35aec48f28056ae054a5cd4,author_side_manifest_identity_with_reader_successor,data/figure_sources/supplementary/FigS02/manifest.json,The author-side artifact is identified by hash; the listed public reader manifest is current.
ai4us-artifact-sha256-58cd15d4c7a6007e81b06b14dcebefe378ae54ef8dfb5e78c4cbe3745332588f,bundled,58cd15d4c7a6007e81b06b14dcebefe378ae54ef8dfb5e78c4cbe3745332588f,bundled_hash_exact,data/figure_sources/supplementary/FigS02/FigS02.source.csv,The bundled public artifact retains the recorded SHA-256.
ai4us-artifact-sha256-aedf35ee774b616866dfe01f11db867918097543070e7748b6348ca3b2244a9c,bundled,aedf35ee774b616866dfe01f11db867918097543070e7748b6348ca3b2244a9c,author_side_manifest_identity_with_reader_successor,data/figure_sources/supplementary/FigS03/manifest.json,The author-side artifact is identified by hash; the listed public reader manifest is current.
ai4us-artifact-sha256-a65d3818b4e345f6b27529b9cdc80843e5e3d0c045a45a3626e66775fc53396b,bundled,a65d3818b4e345f6b27529b9cdc80843e5e3d0c045a45a3626e66775fc53396b,bundled_hash_exact,data/figure_sources/supplementary/FigS03/FigS03.source.csv,The bundled public artifact retains the recorded SHA-256.
ai4us-artifact-sha256-288362816e667a8d3e3a539cfa8d91d59ca0adf1d7e97a7a4cb9eaf3d0e690cf,bundled,288362816e667a8d3e3a539cfa8d91d59ca0adf1d7e97a7a4cb9eaf3d0e690cf,author_side_manifest_identity_with_reader_successor,data/figure_sources/supplementary/FigS04/manifest.json,The author-side artifact is identified by hash; the listed public reader manifest is current.
ai4us-artifact-sha256-56bddc7dafb722447967761127dccb6142c1277d5c480aae6d2d0019547a8c75,bundled,56bddc7dafb722447967761127dccb6142c1277d5c480aae6d2d0019547a8c75,bundled_hash_exact,data/figure_sources/supplementary/FigS04/FigS04.source.csv,The bundled public artifact retains the recorded SHA-256.
ai4us-artifact-sha256-18156ff8e68a708ac5f06b82be9cd09d2caceffde8a18347e680dc0821ab6dbd,bundled,18156ff8e68a708ac5f06b82be9cd09d2caceffde8a18347e680dc0821ab6dbd,author_side_manifest_identity_with_reader_successor,data/figure_sources/supplementary/FigS05/manifest.json,The author-side artifact is identified by hash; the listed public reader manifest is current.
ai4us-artifact-sha256-8b78103e138f5f19f41c5657ba872bbf6640b03c7bd304958dbd21b664d9e58d,bundled,8b78103e138f5f19f41c5657ba872bbf6640b03c7bd304958dbd21b664d9e58d,bundled_hash_exact,data/figure_sources/supplementary/FigS05/FigS05.source.csv,The bundled public artifact retains the recorded SHA-256.
ai4us-artifact-sha256-0ee410e83bc7765fcbe759297b2fb3a3e775760e6dff07db9cc95b4f82165174,bundled,0ee410e83bc7765fcbe759297b2fb3a3e775760e6dff07db9cc95b4f82165174,author_side_manifest_identity_with_reader_successor,data/figure_sources/supplementary/FigS06/manifest.json,The author-side artifact is identified by hash; the listed public reader manifest is current.
ai4us-artifact-sha256-4d1036a2823f71e23d8dccadfe5fa220f55c357b9cf179bf12c9767f9f33510d,bundled,4d1036a2823f71e23d8dccadfe5fa220f55c357b9cf179bf12c9767f9f33510d,bundled_hash_exact,data/figure_sources/supplementary/FigS06/FigS06.source.csv,The bundled public artifact retains the recorded SHA-256.
ai4us-artifact-sha256-ecc175dc0250cbc9ff54dc77de32c2a41cda796320204487ff2d841123b40fde,bundled,ecc175dc0250cbc9ff54dc77de32c2a41cda796320204487ff2d841123b40fde,author_side_manifest_identity_with_reader_successor,data/figure_sources/supplementary/FigS07/manifest.json,The author-side artifact is identified by hash; the listed public reader manifest is current.
ai4us-artifact-sha256-5093f6e4c1f0af6573a2045bd16ee29e0949e2620091a14663a52645b9446eb2,bundled,5093f6e4c1f0af6573a2045bd16ee29e0949e2620091a14663a52645b9446eb2,bundled_hash_exact,data/figure_sources/supplementary/FigS07/FigS07.source.csv,The bundled public artifact retains the recorded SHA-256.
ai4us-artifact-sha256-6352d69d812424fdd21659e770b3be60cc99c618ae07bb6a086d7a266e6eee23,bundled,6352d69d812424fdd21659e770b3be60cc99c618ae07bb6a086d7a266e6eee23,author_side_manifest_identity_with_reader_successor,data/figure_sources/supplementary/FigS08/manifest.json,The author-side artifact is identified by hash; the listed public reader manifest is current.
ai4us-artifact-sha256-1156ddb705da12c318cff4fb25dfa7134ce5036e14b57a6432385b73e6a32826,bundled,1156ddb705da12c318cff4fb25dfa7134ce5036e14b57a6432385b73e6a32826,bundled_hash_exact,data/figure_sources/supplementary/FigS08/FigS08.source.csv,The bundled public artifact retains the recorded SHA-256.
ai4us-artifact-sha256-905b67d950ff2d5417297f119e53ef7b33780b31e70a7e67e155a6962ca207a8,bundled,905b67d950ff2d5417297f119e53ef7b33780b31e70a7e67e155a6962ca207a8,author_side_manifest_identity_with_reader_successor,data/figure_sources/supplementary/FigS09/manifest.json,The author-side artifact is identified by hash; the listed public reader manifest is current.
ai4us-artifact-sha256-964cde01cdddd3d7c14724eb108b14bd77982f3490be2ebe12ee7b5eacb328f3,bundled,964cde01cdddd3d7c14724eb108b14bd77982f3490be2ebe12ee7b5eacb328f3,bundled_hash_exact,data/figure_sources/supplementary/FigS09/FigS09.source.csv,The bundled public artifact retains the recorded SHA-256.
ai4us-artifact-sha256-81df941cfab5a94f715fc02887055af3886df71385b8420429653238bf072cd5,bundled,81df941cfab5a94f715fc02887055af3886df71385b8420429653238bf072cd5,author_side_manifest_identity_with_reader_successor,data/figure_sources/supplementary/FigS10/manifest.json,The author-side artifact is identified by hash; the listed public reader manifest is current.
ai4us-artifact-sha256-688599bc5abef5852cd28f4a89b795ce124b18427a49c4f062788781674ac505,bundled,688599bc5abef5852cd28f4a89b795ce124b18427a49c4f062788781674ac505,bundled_hash_exact,data/figure_sources/supplementary/FigS10/FigS10.source.csv,The bundled public artifact retains the recorded SHA-256.
ai4us-artifact-sha256-dc45ad7cf8e3c40dfbfd9b85f24ce19973a0e3b4bf9bda6218e1dcb58ef40652,bundled,dc45ad7cf8e3c40dfbfd9b85f24ce19973a0e3b4bf9bda6218e1dcb58ef40652,author_side_manifest_identity_with_reader_successor,data/figure_sources/supplementary/FigS11/manifest.json,The author-side artifact is identified by hash; the listed public reader manifest is current.
ai4us-artifact-sha256-40a9a352ed13f8721db07375a2a91afb7320532fe742cc477ade5c6995e0c257,bundled,40a9a352ed13f8721db07375a2a91afb7320532fe742cc477ade5c6995e0c257,bundled_hash_exact,data/figure_sources/supplementary/FigS11/FigS11.source.csv,The bundled public artifact retains the recorded SHA-256.
ai4us-artifact-sha256-dd8007f9aa58aee596e1aa1b771d563df83d937b4e878d4f121923301d8dd06b,bundled,dd8007f9aa58aee596e1aa1b771d563df83d937b4e878d4f121923301d8dd06b,author_side_manifest_identity_with_reader_successor,data/figure_sources/supplementary/FigS12/manifest.json,The author-side artifact is identified by hash; the listed public reader manifest is current.
ai4us-artifact-sha256-9a9ca73b9e2486862437f0a3107208ef138e1b13f157717aba699899475a9fc5,bundled,9a9ca73b9e2486862437f0a3107208ef138e1b13f157717aba699899475a9fc5,bundled_hash_exact,data/figure_sources/supplementary/FigS12/FigS12.source.csv,The bundled public artifact retains the recorded SHA-256.
ai4us-artifact-sha256-939ecb26ddf13f7e9c1fbd6727060fce10867c88606937e765a4c1e2338ccdf7,bundled,939ecb26ddf13f7e9c1fbd6727060fce10867c88606937e765a4c1e2338ccdf7,author_side_manifest_identity_with_reader_successor,data/figure_sources/supplementary/manifest.json,The author-side artifact is identified by hash; the listed public reader manifest is current.
ai4us-artifact-sha256-441a86fbe94e991845e5b5d85925f60c0ac857b75dd65da03393da35c7b23112,not_bundled,441a86fbe94e991845e5b5d85925f60c0ac857b75dd65da03393da35c7b23112,exact_private_table_excluded,data/figure_sources/main/figure3_empirical_variation/Fig03_empirical_complexity_v05.source.csv,The restricted exact input is not redistributed; the listed aggregate is the public replacement.
ai4us-artifact-sha256-598ad78d49c4fa433d5e4b3537741f39fb695969eaaac083f24da1789531c12c,not_bundled,598ad78d49c4fa433d5e4b3537741f39fb695969eaaac083f24da1789531c12c,represented_by_released_source_table,data/figure_sources/supplementary/FigS04/FigS04.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-32eba3e46a52b3e4119607853acdc2daaa950b79e7bb39513a19fee5323666b5,not_bundled,32eba3e46a52b3e4119607853acdc2daaa950b79e7bb39513a19fee5323666b5,represented_by_released_source_table,data/figure_sources/supplementary/FigS05/FigS05.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-b06babe4b10d3562b02f8976b5ae273c51f30733c9097c8d9035ae493b4cd6f0,not_bundled,b06babe4b10d3562b02f8976b5ae273c51f30733c9097c8d9035ae493b4cd6f0,represented_by_released_source_table,data/figure_sources/supplementary/FigS05/FigS05.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-ceb85419b9848b5a1e077dd019a3bf2270fedbb96c1991c627cffb2cfdc3c46a,not_bundled,ceb85419b9848b5a1e077dd019a3bf2270fedbb96c1991c627cffb2cfdc3c46a,represented_by_identifier_free_SD3,data/figure_sources/main/figure4_conditional_interventions/Fig04_conditional_interventions_v10.source.csv;data/processed/model_outputs/distance_decay_intervention_outputs.csv,The listed identifier-free public artifact is the releasable representation.
ai4us-artifact-sha256-81a0938fe0d77056c1a944e164d495c14df7675357233d176ad90b3d18164459,not_bundled,81a0938fe0d77056c1a944e164d495c14df7675357233d176ad90b3d18164459,represented_by_released_source_table,data/figure_sources/supplementary/FigS05/FigS05.source.csv;data/figure_sources/main/figure4_conditional_interventions/Fig04_conditional_interventions_v10.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-6f12e9fa4bcdcf0552c9d1475ba5934d35ba061e04ee56f2932b1dd411072285,not_bundled,6f12e9fa4bcdcf0552c9d1475ba5934d35ba061e04ee56f2932b1dd411072285,represented_by_released_source_table,data/figure_sources/supplementary/FigS05/FigS05.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-10936099e5ed1a6a050f93459844925c76b05eb681115b1a9719172320fdca12,not_bundled,10936099e5ed1a6a050f93459844925c76b05eb681115b1a9719172320fdca12,represented_by_released_source_table,data/figure_sources/supplementary/FigS04/FigS04.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-4d0cc1a52d12b3f99b2348102b2e08fda5ceab2ba43e08f16cf9769e8720e114,not_bundled,4d0cc1a52d12b3f99b2348102b2e08fda5ceab2ba43e08f16cf9769e8720e114,represented_by_released_source_table,data/figure_sources/supplementary/FigS04/FigS04.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-a534c957cf0c3d8a67a8706ce9635cbd6b424678113d6f036950581e41ad4433,not_bundled,a534c957cf0c3d8a67a8706ce9635cbd6b424678113d6f036950581e41ad4433,exact_private_table_excluded,data/figure_sources/main/figure2_relationships/Fig02_relationships_v07.source.csv;data/processed/model_outputs/distance_decay_generation_profiles.csv,The restricted exact input is not redistributed; the listed aggregate is the public replacement.
ai4us-artifact-sha256-02ff6983470aa0842f071050058e9b1cf5d5346faff67139ede9c463696b8225,not_bundled,02ff6983470aa0842f071050058e9b1cf5d5346faff67139ede9c463696b8225,exact_private_table_excluded,data/figure_sources/main/figure2_relationships/Fig02_relationships_v07.source.csv;data/processed/model_outputs/distance_decay_generation_parameters.csv,The restricted exact input is not redistributed; the listed aggregate is the public replacement.
ai4us-artifact-sha256-8932361b7cd0fea347cd2471083b4139a676450b38738531d98ea5a816a1fd85,not_bundled,8932361b7cd0fea347cd2471083b4139a676450b38738531d98ea5a816a1fd85,represented_by_released_source_table,data/figure_sources/main/figure2_relationships/Fig02_relationships_v07.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-f694e36be3e58d96d3e1600f3d299201fdb67448088919c63fea3659d172614a,not_bundled,f694e36be3e58d96d3e1600f3d299201fdb67448088919c63fea3659d172614a,represented_by_released_source_table,data/figure_sources/main/figure2_relationships/Fig02_relationships_v07.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-bc24d1878abb8f5c5ba6e218ecfd86eb4d076d5cda8bfc4c54c7666db7cdb182,not_bundled,bc24d1878abb8f5c5ba6e218ecfd86eb4d076d5cda8bfc4c54c7666db7cdb182,represented_by_identifier_free_SD3,data/figure_sources/supplementary/FigS11/FigS11.source.csv;data/processed/model_outputs/complete_table_activation_effects.csv,The listed identifier-free public artifact is the releasable representation.
ai4us-artifact-sha256-13b57b96c2f55f959856a6a1824a2c6790e5d22950c81cedd4561d0f54b7feba,not_bundled,13b57b96c2f55f959856a6a1824a2c6790e5d22950c81cedd4561d0f54b7feba,represented_by_released_source_table,data/figure_sources/supplementary/FigS11/FigS11.source.csv;data/figure_sources/main/figure5_open_model_analysis/Fig05_mechanism_evidence_v13.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-db6b7c4ab107a6a55f03de072fd3d7e27c2d8e294e7fbe344f324f56e0cdc6ca,not_bundled,db6b7c4ab107a6a55f03de072fd3d7e27c2d8e294e7fbe344f324f56e0cdc6ca,represented_by_identifier_free_SD3,data/figure_sources/supplementary/FigS10/FigS10.source.csv;data/figure_sources/main/figure5_open_model_analysis/Fig05_mechanism_evidence_v13.source.csv;data/processed/model_outputs/open_closed_model_profile_means.csv,The listed identifier-free public artifact is the releasable representation.
ai4us-artifact-sha256-df63e37106b6e1ec19d904650870629699f4378241a74680609bdb8ef5c56281,not_bundled,df63e37106b6e1ec19d904650870629699f4378241a74680609bdb8ef5c56281,represented_by_released_source_table,data/figure_sources/supplementary/FigS10/FigS10.source.csv;data/figure_sources/main/figure5_open_model_analysis/Fig05_mechanism_evidence_v13.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-ba133cf129df0e89e985f54695d4da12b7f1153fd3cbacceee34627e8d355ebd,not_bundled,ba133cf129df0e89e985f54695d4da12b7f1153fd3cbacceee34627e8d355ebd,represented_by_released_source_table,data/figure_sources/supplementary/FigS09/FigS09.source.csv;data/figure_sources/main/figure3_empirical_variation/Fig03_empirical_complexity_v05.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-a1e3a7be22322178c12e4eb48f5217514b6fabf64d86ce93c8e780344e8db6d1,not_bundled,a1e3a7be22322178c12e4eb48f5217514b6fabf64d86ce93c8e780344e8db6d1,represented_by_identifier_free_SD3,data/figure_sources/supplementary/FigS08/FigS08.source.csv;data/figure_sources/main/figure3_empirical_variation/Fig03_empirical_complexity_v05.source.csv;data/processed/model_outputs/perception_generation_representation_sensitivity.csv,The listed identifier-free public artifact is the releasable representation.
ai4us-artifact-sha256-0e751de8e76393dc3c1300239a6f87ca162328c6943168c15c9584dd4375db9f,not_bundled,0e751de8e76393dc3c1300239a6f87ca162328c6943168c15c9584dd4375db9f,represented_by_released_source_table,data/figure_sources/supplementary/FigS09/FigS09.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-b12cb51099117480811458b65419a25825a37de49924b752b31771030475205a,not_bundled,b12cb51099117480811458b65419a25825a37de49924b752b31771030475205a,represented_by_identifier_free_SD3,data/figure_sources/supplementary/FigS08/FigS08.source.csv;data/figure_sources/main/figure2_relationships/Fig02_relationships_v07.source.csv;data/processed/model_outputs/perception_human_alignment_summary.csv,The listed identifier-free public artifact is the releasable representation.
ai4us-artifact-sha256-eb8716b7296ab74d1fa33cbe7cb0c6c4eedf5b8a6bf631a8c0ffc1eaf817fa57,not_bundled,eb8716b7296ab74d1fa33cbe7cb0c6c4eedf5b8a6bf631a8c0ffc1eaf817fa57,represented_by_released_source_table,data/figure_sources/supplementary/FigS12/FigS12.source.csv;data/figure_sources/main/figure5_open_model_analysis/Fig05_mechanism_evidence_v13.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-606b1f3178297dcd19b2f09765f9ae406063f631cb0f6e892c34e722f3cae7b4,not_bundled,606b1f3178297dcd19b2f09765f9ae406063f631cb0f6e892c34e722f3cae7b4,represented_by_identifier_free_SD3,data/figure_sources/supplementary/FigS08/FigS08.source.csv;data/processed/model_outputs/perception_generation_representation_metrics.csv,The listed identifier-free public artifact is the releasable representation.
ai4us-artifact-sha256-f3f16204a8c6bcbd8931192e067f1fb4b9fc72d94d16f4fb49da2dd1f8531353,not_bundled,f3f16204a8c6bcbd8931192e067f1fb4b9fc72d94d16f4fb49da2dd1f8531353,represented_by_released_source_table,data/figure_sources/supplementary/FigS08/FigS08.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-baaf6714a8d8cb47f00c6c3f6cf82fbd40d34b63e11d5028aac749935f6a397a,not_bundled,baaf6714a8d8cb47f00c6c3f6cf82fbd40d34b63e11d5028aac749935f6a397a,represented_by_released_source_table,data/figure_sources/supplementary/FigS09/FigS09.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-1243ced6de178e1104a8a742043e82e1cc4ac9c8c066a1d6069055d15ebf1f9c,not_bundled,1243ced6de178e1104a8a742043e82e1cc4ac9c8c066a1d6069055d15ebf1f9c,represented_by_released_source_table,data/figure_sources/supplementary/FigS10/FigS10.source.csv;data/figure_sources/main/figure5_open_model_analysis/Fig05_mechanism_evidence_v13.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-dfd5ccc81586b193ce2025085c830b6f5947b5dee1872e8b33eff549e9c23517,not_bundled,dfd5ccc81586b193ce2025085c830b6f5947b5dee1872e8b33eff549e9c23517,represented_by_released_source_table,data/figure_sources/supplementary/FigS12/FigS12.source.csv;data/figure_sources/main/figure5_open_model_analysis/Fig05_mechanism_evidence_v13.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-24dfe1b6b66e8e298e6e7881e80c78820cfd11bdcf0eb181bb2cc3d1b2307c04,not_bundled,24dfe1b6b66e8e298e6e7881e80c78820cfd11bdcf0eb181bb2cc3d1b2307c04,represented_by_identifier_free_SD3,data/figure_sources/supplementary/FigS12/FigS12.source.csv;data/figure_sources/main/figure5_open_model_analysis/Fig05_mechanism_evidence_v13.source.csv;data/processed/model_outputs/perception_activation_effect_matrix.csv,The listed identifier-free public artifact is the releasable representation.
ai4us-artifact-sha256-2d7e76f8d9030aebe7df104327fcc659d4945fc751acaa7b6e04aefc1203a35a,bundled,2d7e76f8d9030aebe7df104327fcc659d4945fc751acaa7b6e04aefc1203a35a,reader_alias_of_frozen_SD3_member,data/processed/model_outputs/perception_7b_behavior_matrix.csv,The listed public artifact is a byte-exact reader alias of the external data member.
ai4us-artifact-sha256-d40e6d5be0df7d1fb464abe10ad8f5555e3f3b352512c0a1da217dd3e939fcfc,bundled,d40e6d5be0df7d1fb464abe10ad8f5555e3f3b352512c0a1da217dd3e939fcfc,reader_alias_of_frozen_SD3_member,data/processed/model_outputs/perception_7b_behavior_profile_summary.csv,The listed public artifact is a byte-exact reader alias of the external data member.
ai4us-artifact-sha256-50956a6a0573ff7d56a6e0701b0034a2aa316da9cfb8f2d1ceb1ad8fc7f81c8a,bundled,50956a6a0573ff7d56a6e0701b0034a2aa316da9cfb8f2d1ceb1ad8fc7f81c8a,reader_alias_of_frozen_SD3_member,data/processed/model_outputs/perception_7b_replication_summary.csv,The listed public artifact is a byte-exact reader alias of the external data member.
ai4us-artifact-sha256-558228ff0d7252d6220ae0220eb7b7410444c9731500a1f21c060bfdcdab176d,bundled,558228ff0d7252d6220ae0220eb7b7410444c9731500a1f21c060bfdcdab176d,reader_alias_of_frozen_SD3_member,data/processed/model_outputs/perception_7b_state_replacement_matrix.csv,The listed public artifact is a byte-exact reader alias of the external data member.
ai4us-artifact-sha256-eca77c2afd3250f488d3fae9b57875bf4b3d739687451af8d220c8f5c9ace6db,bundled,eca77c2afd3250f488d3fae9b57875bf4b3d739687451af8d220c8f5c9ace6db,reader_alias_of_frozen_SD3_member,data/processed/model_outputs/perception_7b_state_replacement_profile_summary.csv,The listed public artifact is a byte-exact reader alias of the external data member.
ai4us-artifact-sha256-7cc152645ab30a5771e7eb1451e8bbaf44224f32edf38ac4d50092123c652cca,bundled,7cc152645ab30a5771e7eb1451e8bbaf44224f32edf38ac4d50092123c652cca,reader_alias_of_frozen_SD3_member,data/processed/model_outputs/perception_7b_state_replacement_scene_estimands.csv,The listed public artifact is a byte-exact reader alias of the external data member.
ai4us-artifact-sha256-2202568917e3ae3080959aae5241dbcba049950850cce2f6078fb6770998a03c,not_bundled,2202568917e3ae3080959aae5241dbcba049950850cce2f6078fb6770998a03c,represented_by_released_source_table,data/figure_sources/supplementary/FigS09/FigS09.source.csv;data/figure_sources/main/figure4_conditional_interventions/Fig04_conditional_interventions_v10.source.csv;data/figure_sources/main/figure5_open_model_analysis/Fig05_mechanism_evidence_v13.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-3464580c9bd76beb97f12479821e627928857a9888374a7dc00e0cf34b1735d5,not_bundled,3464580c9bd76beb97f12479821e627928857a9888374a7dc00e0cf34b1735d5,represented_by_released_source_table,data/figure_sources/main/figure5_open_model_analysis/Fig05_mechanism_evidence_v13.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-e88fb1358823298a0ff9d42db74fa4e78b74d135df84825a34f112da9d15a453,not_bundled,e88fb1358823298a0ff9d42db74fa4e78b74d135df84825a34f112da9d15a453,represented_by_released_source_table,data/figure_sources/supplementary/FigS02/FigS02.source.csv;data/figure_sources/supplementary/FigS03/FigS03.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-a7bbbdd205d7eb74af000b4a9726ff6f8b87bfa4fc71ac006577a5ac7e287999,not_bundled,a7bbbdd205d7eb74af000b4a9726ff6f8b87bfa4fc71ac006577a5ac7e287999,represented_by_released_source_table,data/figure_sources/supplementary/FigS02/FigS02.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-426006f474f1d72eb3372079307de83acf5786f7954436f59370f763db2689ae,not_bundled,426006f474f1d72eb3372079307de83acf5786f7954436f59370f763db2689ae,represented_by_released_source_table,data/figure_sources/main/figure4_conditional_interventions/Fig04_conditional_interventions_v10.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-104a053fda6530073503bea0834317497c113d16a5dceccce7267034cf9046af,not_bundled,104a053fda6530073503bea0834317497c113d16a5dceccce7267034cf9046af,represented_by_identifier_free_SD3,data/figure_sources/main/figure4_conditional_interventions/Fig04_conditional_interventions_v10.source.csv;data/processed/model_outputs/urban_scaling_intervention_outputs.csv,The listed identifier-free public artifact is the releasable representation.
ai4us-artifact-sha256-dd06d2dea9013830a4c96447d1e55de4532a7b222fa9c99c7f7189a3c9df703e,not_bundled,dd06d2dea9013830a4c96447d1e55de4532a7b222fa9c99c7f7189a3c9df703e,represented_by_released_source_table,data/figure_sources/main/figure3_empirical_variation/Fig03_empirical_complexity_v05.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-92ce968ef5d6716b47aee65e375b617aa5d024da25f3ae125dfdf26b4f4d1aa4,not_bundled,92ce968ef5d6716b47aee65e375b617aa5d024da25f3ae125dfdf26b4f4d1aa4,represented_by_released_source_table,data/figure_sources/main/figure3_empirical_variation/Fig03_empirical_complexity_v05.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-50d8311dfd6e6c595d386262c272d1e77d0f15c1a0f0edaffe9fefca4800b637,not_bundled,50d8311dfd6e6c595d386262c272d1e77d0f15c1a0f0edaffe9fefca4800b637,represented_by_released_source_table,data/figure_sources/supplementary/FigS03/FigS03.source.csv,The listed released source table is the public representation.
