artifact_id,sha256,disposition,public_replacement,note
ai4us-artifact-sha256-02ff6983470aa0842f071050058e9b1cf5d5346faff67139ede9c463696b8225,02ff6983470aa0842f071050058e9b1cf5d5346faff67139ede9c463696b8225,exact_private_table_excluded,data/figure_sources/main/figure2_relationships/Fig02_relationships_v07.source.csv;data/processed/model_outputs/distance_decay_generation_parameters.csv,The restricted exact input is not redistributed; the listed aggregate is the public replacement.
ai4us-artifact-sha256-8932361b7cd0fea347cd2471083b4139a676450b38738531d98ea5a816a1fd85,8932361b7cd0fea347cd2471083b4139a676450b38738531d98ea5a816a1fd85,represented_by_released_source_table,data/figure_sources/main/figure2_relationships/Fig02_relationships_v07.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-f694e36be3e58d96d3e1600f3d299201fdb67448088919c63fea3659d172614a,f694e36be3e58d96d3e1600f3d299201fdb67448088919c63fea3659d172614a,represented_by_released_source_table,data/figure_sources/main/figure2_relationships/Fig02_relationships_v07.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-bc24d1878abb8f5c5ba6e218ecfd86eb4d076d5cda8bfc4c54c7666db7cdb182,bc24d1878abb8f5c5ba6e218ecfd86eb4d076d5cda8bfc4c54c7666db7cdb182,represented_by_identifier_free_SD3,data/figure_sources/supplementary/FigS11/FigS11.source.csv;data/processed/model_outputs/complete_table_activation_effects.csv,The listed identifier-free public artifact is the releasable representation.
ai4us-artifact-sha256-13b57b96c2f55f959856a6a1824a2c6790e5d22950c81cedd4561d0f54b7feba,13b57b96c2f55f959856a6a1824a2c6790e5d22950c81cedd4561d0f54b7feba,represented_by_released_source_table,data/figure_sources/supplementary/FigS11/FigS11.source.csv;data/figure_sources/main/figure5_open_model_analysis/Fig05_mechanism_evidence_v13.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-db6b7c4ab107a6a55f03de072fd3d7e27c2d8e294e7fbe344f324f56e0cdc6ca,db6b7c4ab107a6a55f03de072fd3d7e27c2d8e294e7fbe344f324f56e0cdc6ca,represented_by_identifier_free_SD3,data/figure_sources/supplementary/FigS10/FigS10.source.csv;data/figure_sources/main/figure5_open_model_analysis/Fig05_mechanism_evidence_v13.source.csv;data/processed/model_outputs/open_closed_model_profile_means.csv,The listed identifier-free public artifact is the releasable representation.
ai4us-artifact-sha256-df63e37106b6e1ec19d904650870629699f4378241a74680609bdb8ef5c56281,df63e37106b6e1ec19d904650870629699f4378241a74680609bdb8ef5c56281,represented_by_released_source_table,data/figure_sources/supplementary/FigS10/FigS10.source.csv;data/figure_sources/main/figure5_open_model_analysis/Fig05_mechanism_evidence_v13.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-ba133cf129df0e89e985f54695d4da12b7f1153fd3cbacceee34627e8d355ebd,ba133cf129df0e89e985f54695d4da12b7f1153fd3cbacceee34627e8d355ebd,represented_by_released_source_table,data/figure_sources/supplementary/FigS09/FigS09.source.csv;data/figure_sources/main/figure3_empirical_variation/Fig03_empirical_complexity_v05.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-a1e3a7be22322178c12e4eb48f5217514b6fabf64d86ce93c8e780344e8db6d1,a1e3a7be22322178c12e4eb48f5217514b6fabf64d86ce93c8e780344e8db6d1,represented_by_identifier_free_SD3,data/figure_sources/supplementary/FigS08/FigS08.source.csv;data/figure_sources/main/figure3_empirical_variation/Fig03_empirical_complexity_v05.source.csv;data/processed/model_outputs/perception_generation_representation_sensitivity.csv,The listed identifier-free public artifact is the releasable representation.
ai4us-artifact-sha256-0e751de8e76393dc3c1300239a6f87ca162328c6943168c15c9584dd4375db9f,0e751de8e76393dc3c1300239a6f87ca162328c6943168c15c9584dd4375db9f,represented_by_released_source_table,data/figure_sources/supplementary/FigS09/FigS09.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-b12cb51099117480811458b65419a25825a37de49924b752b31771030475205a,b12cb51099117480811458b65419a25825a37de49924b752b31771030475205a,represented_by_identifier_free_SD3,data/figure_sources/supplementary/FigS08/FigS08.source.csv;data/figure_sources/main/figure2_relationships/Fig02_relationships_v07.source.csv;data/processed/model_outputs/perception_human_alignment_summary.csv,The listed identifier-free public artifact is the releasable representation.
ai4us-artifact-sha256-eb8716b7296ab74d1fa33cbe7cb0c6c4eedf5b8a6bf631a8c0ffc1eaf817fa57,eb8716b7296ab74d1fa33cbe7cb0c6c4eedf5b8a6bf631a8c0ffc1eaf817fa57,represented_by_released_source_table,data/figure_sources/supplementary/FigS12/FigS12.source.csv;data/figure_sources/main/figure5_open_model_analysis/Fig05_mechanism_evidence_v13.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-606b1f3178297dcd19b2f09765f9ae406063f631cb0f6e892c34e722f3cae7b4,606b1f3178297dcd19b2f09765f9ae406063f631cb0f6e892c34e722f3cae7b4,represented_by_identifier_free_SD3,data/figure_sources/supplementary/FigS08/FigS08.source.csv;data/processed/model_outputs/perception_generation_representation_metrics.csv,The listed identifier-free public artifact is the releasable representation.
ai4us-artifact-sha256-f3f16204a8c6bcbd8931192e067f1fb4b9fc72d94d16f4fb49da2dd1f8531353,f3f16204a8c6bcbd8931192e067f1fb4b9fc72d94d16f4fb49da2dd1f8531353,represented_by_released_source_table,data/figure_sources/supplementary/FigS08/FigS08.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-baaf6714a8d8cb47f00c6c3f6cf82fbd40d34b63e11d5028aac749935f6a397a,baaf6714a8d8cb47f00c6c3f6cf82fbd40d34b63e11d5028aac749935f6a397a,represented_by_released_source_table,data/figure_sources/supplementary/FigS09/FigS09.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-1243ced6de178e1104a8a742043e82e1cc4ac9c8c066a1d6069055d15ebf1f9c,1243ced6de178e1104a8a742043e82e1cc4ac9c8c066a1d6069055d15ebf1f9c,represented_by_released_source_table,data/figure_sources/supplementary/FigS10/FigS10.source.csv;data/figure_sources/main/figure5_open_model_analysis/Fig05_mechanism_evidence_v13.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-dfd5ccc81586b193ce2025085c830b6f5947b5dee1872e8b33eff549e9c23517,dfd5ccc81586b193ce2025085c830b6f5947b5dee1872e8b33eff549e9c23517,represented_by_released_source_table,data/figure_sources/supplementary/FigS12/FigS12.source.csv;data/figure_sources/main/figure5_open_model_analysis/Fig05_mechanism_evidence_v13.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-24dfe1b6b66e8e298e6e7881e80c78820cfd11bdcf0eb181bb2cc3d1b2307c04,24dfe1b6b66e8e298e6e7881e80c78820cfd11bdcf0eb181bb2cc3d1b2307c04,represented_by_identifier_free_SD3,data/figure_sources/supplementary/FigS12/FigS12.source.csv;data/figure_sources/main/figure5_open_model_analysis/Fig05_mechanism_evidence_v13.source.csv;data/processed/model_outputs/perception_activation_effect_matrix.csv,The listed identifier-free public artifact is the releasable representation.
ai4us-artifact-sha256-2202568917e3ae3080959aae5241dbcba049950850cce2f6078fb6770998a03c,2202568917e3ae3080959aae5241dbcba049950850cce2f6078fb6770998a03c,represented_by_released_source_table,data/figure_sources/supplementary/FigS09/FigS09.source.csv;data/figure_sources/main/figure4_conditional_interventions/Fig04_conditional_interventions_v10.source.csv;data/figure_sources/main/figure5_open_model_analysis/Fig05_mechanism_evidence_v13.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-3464580c9bd76beb97f12479821e627928857a9888374a7dc00e0cf34b1735d5,3464580c9bd76beb97f12479821e627928857a9888374a7dc00e0cf34b1735d5,represented_by_released_source_table,data/figure_sources/main/figure5_open_model_analysis/Fig05_mechanism_evidence_v13.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-e88fb1358823298a0ff9d42db74fa4e78b74d135df84825a34f112da9d15a453,e88fb1358823298a0ff9d42db74fa4e78b74d135df84825a34f112da9d15a453,represented_by_released_source_table,data/figure_sources/supplementary/FigS02/FigS02.source.csv;data/figure_sources/supplementary/FigS03/FigS03.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-a7bbbdd205d7eb74af000b4a9726ff6f8b87bfa4fc71ac006577a5ac7e287999,a7bbbdd205d7eb74af000b4a9726ff6f8b87bfa4fc71ac006577a5ac7e287999,represented_by_released_source_table,data/figure_sources/supplementary/FigS02/FigS02.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-426006f474f1d72eb3372079307de83acf5786f7954436f59370f763db2689ae,426006f474f1d72eb3372079307de83acf5786f7954436f59370f763db2689ae,represented_by_released_source_table,data/figure_sources/main/figure4_conditional_interventions/Fig04_conditional_interventions_v10.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-104a053fda6530073503bea0834317497c113d16a5dceccce7267034cf9046af,104a053fda6530073503bea0834317497c113d16a5dceccce7267034cf9046af,represented_by_identifier_free_SD3,data/figure_sources/main/figure4_conditional_interventions/Fig04_conditional_interventions_v10.source.csv;data/processed/model_outputs/urban_scaling_intervention_outputs.csv,The listed identifier-free public artifact is the releasable representation.
ai4us-artifact-sha256-dd06d2dea9013830a4c96447d1e55de4532a7b222fa9c99c7f7189a3c9df703e,dd06d2dea9013830a4c96447d1e55de4532a7b222fa9c99c7f7189a3c9df703e,represented_by_released_source_table,data/figure_sources/main/figure3_empirical_variation/Fig03_empirical_complexity_v05.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-92ce968ef5d6716b47aee65e375b617aa5d024da25f3ae125dfdf26b4f4d1aa4,92ce968ef5d6716b47aee65e375b617aa5d024da25f3ae125dfdf26b4f4d1aa4,represented_by_released_source_table,data/figure_sources/main/figure3_empirical_variation/Fig03_empirical_complexity_v05.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-50d8311dfd6e6c595d386262c272d1e77d0f15c1a0f0edaffe9fefca4800b637,50d8311dfd6e6c595d386262c272d1e77d0f15c1a0f0edaffe9fefca4800b637,represented_by_released_source_table,data/figure_sources/supplementary/FigS03/FigS03.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-7940c1343b8a290dae7537a500c872435ee14cc45d83b1486db9ebca8fe6b3ff,7940c1343b8a290dae7537a500c872435ee14cc45d83b1486db9ebca8fe6b3ff,represented_by_released_source_table,data/figure_sources/supplementary/FigS03/FigS03.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-d87fbbfd4ebe4f7f3608ddf4806ac69f41f38ede675cf4faa08ef0f6056a82d7,d87fbbfd4ebe4f7f3608ddf4806ac69f41f38ede675cf4faa08ef0f6056a82d7,represented_by_released_source_table,data/figure_sources/supplementary/FigS02/FigS02.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-8f642988b49f62b47e7337e8ca0202d2397762cd46abb5b4a6e330bdbcc30275,8f642988b49f62b47e7337e8ca0202d2397762cd46abb5b4a6e330bdbcc30275,represented_by_released_source_table,data/figure_sources/main/figure2_relationships/Fig02_relationships_v07.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-783eae5bdf062f53ae230dc9510a6080cb86b2d912217bb2f4bb264cb75118cb,783eae5bdf062f53ae230dc9510a6080cb86b2d912217bb2f4bb264cb75118cb,represented_by_released_source_table,data/figure_sources/main/figure5_open_model_analysis/Fig05_mechanism_evidence_v13.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-15624fe93ff04ea60bb6e3395f64d009a65aaa5f4126d1a0b7c87831c013d1ed,15624fe93ff04ea60bb6e3395f64d009a65aaa5f4126d1a0b7c87831c013d1ed,represented_by_released_source_table,data/figure_sources/supplementary/FigS07/FigS07.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-04c1a5dbf00a990c6aac715c95b2c2e850e71f4d2078831ac96a4d44c7858d25,04c1a5dbf00a990c6aac715c95b2c2e850e71f4d2078831ac96a4d44c7858d25,represented_by_released_source_table,data/figure_sources/supplementary/FigS06/FigS06.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-aa9314fbeceeed4c91e591530a718ddb6696a1a7c572500cd7817865bcaafa66,aa9314fbeceeed4c91e591530a718ddb6696a1a7c572500cd7817865bcaafa66,exact_private_table_excluded,data/figure_sources/main/figure3_empirical_variation/Fig03_empirical_complexity_v05.source.csv,The restricted exact input is not redistributed; the listed aggregate is the public replacement.
ai4us-artifact-sha256-cf7af3a551fdcac3be085456a08581d9414da89b11688144b75b8ab13712f1d5,cf7af3a551fdcac3be085456a08581d9414da89b11688144b75b8ab13712f1d5,exact_private_table_excluded,data/figure_sources/main/figure3_empirical_variation/Fig03_empirical_complexity_v05.source.csv,The restricted exact input is not redistributed; the listed aggregate is the public replacement.
ai4us-artifact-sha256-b264ca048a0b1b69a869a9a0b4bcbfbe2e307ee9de354920d3d2d8f52889906d,b264ca048a0b1b69a869a9a0b4bcbfbe2e307ee9de354920d3d2d8f52889906d,represented_by_released_source_table,data/figure_sources/supplementary/FigS07/FigS07.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-20885ae076ebbb101dcc86533caa443741ef51afa51b084bb7fc82c69aec98db,20885ae076ebbb101dcc86533caa443741ef51afa51b084bb7fc82c69aec98db,represented_by_released_source_table,data/figure_sources/supplementary/FigS07/FigS07.source.csv;data/figure_sources/main/figure4_conditional_interventions/Fig04_conditional_interventions_v10.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-8ead7aa2eea9bba52c9da1c68727d6a3af21f8c43fa3bd50199f2fa6f5ffde41,8ead7aa2eea9bba52c9da1c68727d6a3af21f8c43fa3bd50199f2fa6f5ffde41,represented_by_released_source_table,data/figure_sources/main/figure4_conditional_interventions/Fig04_conditional_interventions_v10.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-19b410b7a526b9fca3ee73249b93d717c46fd363359b73054fe21cb033a92a35,19b410b7a526b9fca3ee73249b93d717c46fd363359b73054fe21cb033a92a35,represented_by_released_source_table,data/figure_sources/supplementary/FigS07/FigS07.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-70a56b4e2e4b106eb153acd631cf33b79136bbe68600eee24159c59c3a574319,70a56b4e2e4b106eb153acd631cf33b79136bbe68600eee24159c59c3a574319,represented_by_released_source_table,data/figure_sources/supplementary/FigS06/FigS06.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-672adc63b278f7618a1aec7b129d692c9335cb62da45e29fc61299e97f1c8a93,672adc63b278f7618a1aec7b129d692c9335cb62da45e29fc61299e97f1c8a93,represented_by_released_source_table,data/figure_sources/supplementary/FigS06/FigS06.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-32ad6f6a7917a76dde59efc4568ee748fb1cea651ac951e5167cdb91de987548,32ad6f6a7917a76dde59efc4568ee748fb1cea651ac951e5167cdb91de987548,represented_by_identifier_free_SD3,data/figure_sources/main/figure3_empirical_variation/Fig03_empirical_complexity_v05.source.csv;data/processed/model_outputs/vitality_generation_rows.csv,The listed identifier-free public artifact is the releasable representation.
ai4us-artifact-sha256-ce7caaa2043db2cb13c8ed4a029deb31e13df534f75fdd393717cd95f9ac6f4d,ce7caaa2043db2cb13c8ed4a029deb31e13df534f75fdd393717cd95f9ac6f4d,represented_by_released_source_table,data/figure_sources/supplementary/FigS06/FigS06.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-2d7e76f8d9030aebe7df104327fcc659d4945fc751acaa7b6e04aefc1203a35a,2d7e76f8d9030aebe7df104327fcc659d4945fc751acaa7b6e04aefc1203a35a,reader_alias_of_frozen_SD3_member,data/processed/model_outputs/perception_7b_behavior_matrix.csv,The listed public artifact is a byte-exact reader alias of the external data member.
ai4us-artifact-sha256-d40e6d5be0df7d1fb464abe10ad8f5555e3f3b352512c0a1da217dd3e939fcfc,d40e6d5be0df7d1fb464abe10ad8f5555e3f3b352512c0a1da217dd3e939fcfc,reader_alias_of_frozen_SD3_member,data/processed/model_outputs/perception_7b_behavior_profile_summary.csv,The listed public artifact is a byte-exact reader alias of the external data member.
ai4us-artifact-sha256-50956a6a0573ff7d56a6e0701b0034a2aa316da9cfb8f2d1ceb1ad8fc7f81c8a,50956a6a0573ff7d56a6e0701b0034a2aa316da9cfb8f2d1ceb1ad8fc7f81c8a,reader_alias_of_frozen_SD3_member,data/processed/model_outputs/perception_7b_replication_summary.csv,The listed public artifact is a byte-exact reader alias of the external data member.
ai4us-artifact-sha256-558228ff0d7252d6220ae0220eb7b7410444c9731500a1f21c060bfdcdab176d,558228ff0d7252d6220ae0220eb7b7410444c9731500a1f21c060bfdcdab176d,reader_alias_of_frozen_SD3_member,data/processed/model_outputs/perception_7b_state_replacement_matrix.csv,The listed public artifact is a byte-exact reader alias of the external data member.
ai4us-artifact-sha256-eca77c2afd3250f488d3fae9b57875bf4b3d739687451af8d220c8f5c9ace6db,eca77c2afd3250f488d3fae9b57875bf4b3d739687451af8d220c8f5c9ace6db,reader_alias_of_frozen_SD3_member,data/processed/model_outputs/perception_7b_state_replacement_profile_summary.csv,The listed public artifact is a byte-exact reader alias of the external data member.
ai4us-artifact-sha256-7cc152645ab30a5771e7eb1451e8bbaf44224f32edf38ac4d50092123c652cca,7cc152645ab30a5771e7eb1451e8bbaf44224f32edf38ac4d50092123c652cca,reader_alias_of_frozen_SD3_member,data/processed/model_outputs/perception_7b_state_replacement_scene_estimands.csv,The listed public artifact is a byte-exact reader alias of the external data member.
