setting_id,spatial_group,prompt_condition,request_status,ordered_doses,full_high_mid_low_fixed
vitality_setting_015,spatial_group_004,Paraphrase control,valid,high>mid>low,1
vitality_setting_015,spatial_group_004,Alias/order control,valid,high>mid>low,1
vitality_setting_015,spatial_group_004,Exact-repeat control,valid,high>mid>low,1
vitality_setting_015,spatial_group_004,Irrelevant-number control,valid,high>mid>low,1
vitality_setting_016,spatial_group_004,Primary wording,valid,high>mid>low,1
vitality_setting_017,spatial_group_005,Primary wording,valid,high>mid>low,1
vitality_setting_017,spatial_group_005,Paraphrase control,valid,high>mid>low,1
vitality_setting_017,spatial_group_005,Alias/order control,valid,high>mid>low,1
vitality_setting_017,spatial_group_005,Exact-repeat control,valid,high>mid>low,1
vitality_setting_017,spatial_group_005,Irrelevant-number control,valid,high>mid>low,1
vitality_setting_018,spatial_group_005,Primary wording,valid,high>mid>low,1
vitality_setting_019,spatial_group_005,Primary wording,valid,high>mid>low,1
vitality_setting_019,spatial_group_005,Paraphrase control,valid,high>mid>low,1
vitality_setting_019,spatial_group_005,Alias/order control,valid,high>mid>low,1
vitality_setting_019,spatial_group_005,Exact-repeat control,valid,high>mid>low,1
vitality_setting_019,spatial_group_005,Irrelevant-number control,valid,high>mid>low,1
vitality_setting_020,spatial_group_005,Primary wording,valid,high>mid>low,1
vitality_setting_020,spatial_group_005,Paraphrase control,valid,high>mid>low,1
vitality_setting_020,spatial_group_005,Alias/order control,valid,high>mid>low,1
vitality_setting_020,spatial_group_005,Exact-repeat control,valid,high>mid>low,1
vitality_setting_020,spatial_group_005,Irrelevant-number control,valid,high>mid>low,1
vitality_setting_021,spatial_group_005,Primary wording,valid,high>mid>low,1
vitality_setting_022,spatial_group_006,Primary wording,valid,high>mid>low,1
vitality_setting_022,spatial_group_006,Paraphrase control,valid,high>mid>low,1
vitality_setting_022,spatial_group_006,Alias/order control,valid,high>mid>low,1
vitality_setting_022,spatial_group_006,Exact-repeat control,valid,high>mid>low,1
vitality_setting_022,spatial_group_006,Irrelevant-number control,valid,high>mid>low,1
vitality_setting_023,spatial_group_006,Primary wording,valid,high>mid>low,1
vitality_setting_024,spatial_group_006,Primary wording,valid,high>mid>low,1
vitality_setting_024,spatial_group_006,Paraphrase control,valid,high>mid>low,1
vitality_setting_024,spatial_group_006,Alias/order control,valid,high>mid>low,1
vitality_setting_024,spatial_group_006,Exact-repeat control,valid,high>mid>low,1
vitality_setting_024,spatial_group_006,Irrelevant-number control,valid,high>mid>low,1
vitality_setting_025,spatial_group_006,Primary wording,valid,high>mid>low,1
vitality_setting_026,spatial_group_006,Primary wording,valid,high>mid>low,1
vitality_setting_026,spatial_group_006,Paraphrase control,valid,high>mid>low,1
vitality_setting_026,spatial_group_006,Alias/order control,valid,high>mid>low,1
vitality_setting_026,spatial_group_006,Exact-repeat control,valid,high>mid>low,1
vitality_setting_026,spatial_group_006,Irrelevant-number control,valid,high>mid>low,1
vitality_setting_027,spatial_group_006,Primary wording,valid,high>mid>low,1
vitality_setting_028,spatial_group_007,Primary wording,valid,high>low>mid,0
vitality_setting_028,spatial_group_007,Paraphrase control,valid,high>mid>low,1
vitality_setting_028,spatial_group_007,Alias/order control,valid,high>mid>low,1
vitality_setting_028,spatial_group_007,Exact-repeat control,valid,high>low>mid,0
vitality_setting_028,spatial_group_007,Irrelevant-number control,valid,high>low>mid,0
vitality_setting_029,spatial_group_007,Primary wording,valid,high>mid>low,1
vitality_setting_030,spatial_group_007,Primary wording,valid,high>mid>low,1
vitality_setting_030,spatial_group_007,Paraphrase control,valid,high>mid>low,1
vitality_setting_030,spatial_group_007,Alias/order control,valid,high>mid>low,1
vitality_setting_030,spatial_group_007,Exact-repeat control,valid,high>mid>low,1
vitality_setting_030,spatial_group_007,Irrelevant-number control,valid,high>mid>low,1
vitality_setting_031,spatial_group_007,Primary wording,valid,high>mid>low,1
vitality_setting_032,spatial_group_007,Primary wording,valid,high>mid>low,1
vitality_setting_032,spatial_group_007,Paraphrase control,http_502,,0
vitality_setting_032,spatial_group_007,Alias/order control,http_502,,0
vitality_setting_032,spatial_group_007,Exact-repeat control,http_502,,0
vitality_setting_032,spatial_group_007,Irrelevant-number control,http_502,,0
vitality_setting_033,spatial_group_007,Primary wording,http_502,,0
vitality_setting_034,spatial_group_008,Primary wording,http_502,,0
vitality_setting_034,spatial_group_008,Paraphrase control,http_502,,0
vitality_setting_034,spatial_group_008,Alias/order control,http_502,,0
vitality_setting_034,spatial_group_008,Exact-repeat control,http_502,,0
vitality_setting_034,spatial_group_008,Irrelevant-number control,http_502,,0
vitality_setting_035,spatial_group_008,Primary wording,http_502,,0
vitality_setting_036,spatial_group_008,Primary wording,http_502,,0
vitality_setting_036,spatial_group_008,Paraphrase control,http_502,,0
vitality_setting_036,spatial_group_008,Alias/order control,http_502,,0
vitality_setting_036,spatial_group_008,Exact-repeat control,http_502,,0
vitality_setting_036,spatial_group_008,Irrelevant-number control,http_502,,0
vitality_setting_037,spatial_group_008,Primary wording,http_502,,0
vitality_setting_038,spatial_group_008,Primary wording,http_502,,0
vitality_setting_038,spatial_group_008,Paraphrase control,http_502,,0
vitality_setting_038,spatial_group_008,Alias/order control,http_502,,0
vitality_setting_038,spatial_group_008,Exact-repeat control,http_502,,0
vitality_setting_038,spatial_group_008,Irrelevant-number control,http_502,,0
