setting_id,intervention_grid,annulus_start_km,annulus_end_km,annulus_midpoint_km,request_status,land_density_ratio
decay_setting_077,Five 1-km annuli,5.0,6.0,5.5,valid,0.37
decay_setting_050,Five 1-km annuli,0.0,1.0,0.5,valid,0.75
decay_setting_044,Five 1-km annuli,0.0,1.0,0.5,valid,0.82
decay_setting_043,Five 1-km annuli,15.0,16.0,15.5,valid,0.55
decay_setting_021,Five 1-km annuli,15.0,16.0,15.5,valid,0.32
decay_setting_049,Five 1-km annuli,0.0,1.0,0.5,valid,0.75
decay_setting_036,Five 1-km annuli,60.0,61.0,60.5,valid,0.12
decay_setting_052,Five 1-km annuli,5.0,6.0,5.5,valid,0.62
decay_setting_025,Five 1-km annuli,60.0,61.0,60.5,valid,0.15
decay_setting_049,Five 1-km annuli,5.0,6.0,5.5,empty,
decay_setting_099,Five 1-km annuli,15.0,16.0,15.5,valid,0.42
decay_setting_010,Five 1-km annuli,30.0,31.0,30.5,valid,0.42
decay_setting_047,Five 1-km annuli,30.0,31.0,30.5,valid,0.27
decay_setting_051,Five 1-km annuli,30.0,31.0,30.5,empty,
decay_setting_063,Five 1-km annuli,5.0,6.0,5.5,valid,0.47
decay_setting_075,Five 1-km annuli,0.0,1.0,0.5,valid,0.83
decay_setting_081,Five 1-km annuli,15.0,16.0,15.5,valid,0.34
decay_setting_037,Five 1-km annuli,5.0,6.0,5.5,valid,0.72
decay_setting_077,Five 1-km annuli,60.0,61.0,60.5,valid,0.04
decay_setting_045,Five 1-km annuli,30.0,31.0,30.5,valid,0.22
decay_setting_076,Five 1-km annuli,0.0,1.0,0.5,valid,0.82
decay_setting_088,Five 1-km annuli,0.0,1.0,0.5,valid,0.75
decay_setting_048,Five 1-km annuli,30.0,31.0,30.5,valid,0.27
decay_setting_088,Five 1-km annuli,5.0,6.0,5.5,valid,0.54
decay_setting_092,Five 1-km annuli,60.0,61.0,60.5,valid,0.12
decay_setting_045,Five 1-km annuli,5.0,6.0,5.5,valid,0.65
decay_setting_053,Five 1-km annuli,30.0,31.0,30.5,valid,0.14
decay_setting_005,Five 1-km annuli,5.0,6.0,5.5,valid,0.54
decay_setting_070,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_015,Five 1-km annuli,5.0,6.0,5.5,valid,0.63
decay_setting_029,Five 1-km annuli,5.0,6.0,5.5,valid,0.74
decay_setting_023,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_029,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_091,Five 1-km annuli,60.0,61.0,60.5,valid,0.18
decay_setting_100,Five 1-km annuli,5.0,6.0,5.5,valid,0.47
decay_setting_027,Five 1-km annuli,5.0,6.0,5.5,valid,0.72
decay_setting_023,Five 1-km annuli,5.0,6.0,5.5,valid,0.56
decay_setting_096,Five 1-km annuli,5.0,6.0,5.5,valid,0.37
decay_setting_011,Five 1-km annuli,60.0,61.0,60.5,valid,0.12
decay_setting_007,Five 1-km annuli,60.0,61.0,60.5,valid,0.12
decay_setting_066,Five 1-km annuli,60.0,61.0,60.5,valid,0.05
decay_setting_019,Five 1-km annuli,15.0,16.0,15.5,valid,0.32
decay_setting_098,Five 1-km annuli,60.0,61.0,60.5,valid,0.12
decay_setting_089,Five 1-km annuli,60.0,61.0,60.5,valid,0.08
decay_setting_048,Five 1-km annuli,0.0,1.0,0.5,valid,0.75
decay_setting_049,Five 1-km annuli,30.0,31.0,30.5,valid,0.14
decay_setting_097,Five 1-km annuli,5.0,6.0,5.5,valid,0.36
decay_setting_044,Five 1-km annuli,60.0,61.0,60.5,valid,0.12
decay_setting_042,Five 1-km annuli,15.0,16.0,15.5,empty,
decay_setting_028,Five 1-km annuli,60.0,61.0,60.5,empty,
decay_setting_027,Five 1-km annuli,60.0,61.0,60.5,valid,0.17
decay_setting_056,Five 1-km annuli,30.0,31.0,30.5,valid,0.25
decay_setting_098,Five 1-km annuli,5.0,6.0,5.5,valid,0.45
decay_setting_086,Five 1-km annuli,5.0,6.0,5.5,valid,0.72
decay_setting_039,Five 1-km annuli,5.0,6.0,5.5,valid,0.72
decay_setting_050,Five 1-km annuli,15.0,16.0,15.5,valid,0.27
decay_setting_013,Five 1-km annuli,15.0,16.0,15.5,valid,0.37
decay_setting_038,Five 1-km annuli,30.0,31.0,30.5,empty,
decay_setting_097,Five 1-km annuli,15.0,16.0,15.5,valid,0.43
decay_setting_002,Five 1-km annuli,30.0,31.0,30.5,valid,0.12
decay_setting_026,Five 1-km annuli,60.0,61.0,60.5,valid,0.12
decay_setting_050,Five 1-km annuli,30.0,31.0,30.5,valid,0.12
decay_setting_012,Five 1-km annuli,60.0,61.0,60.5,valid,0.12
decay_setting_012,Five 1-km annuli,5.0,6.0,5.5,valid,0.73
decay_setting_015,Five 1-km annuli,15.0,16.0,15.5,valid,0.43
decay_setting_058,Five 1-km annuli,60.0,61.0,60.5,empty,
decay_setting_087,Five 1-km annuli,15.0,16.0,15.5,valid,0.43
decay_setting_019,Five 1-km annuli,60.0,61.0,60.5,empty,
decay_setting_062,Five 1-km annuli,0.0,1.0,0.5,valid,0.76
decay_setting_084,Five 1-km annuli,60.0,61.0,60.5,valid,0.12
decay_setting_046,Five 1-km annuli,15.0,16.0,15.5,valid,0.24
decay_setting_055,Five 1-km annuli,30.0,31.0,30.5,valid,0.12
decay_setting_011,Five 1-km annuli,0.0,1.0,0.5,valid,0.75
decay_setting_031,Five 1-km annuli,30.0,31.0,30.5,valid,0.12
decay_setting_060,Five 1-km annuli,30.0,31.0,30.5,valid,0.18
decay_setting_075,Five 1-km annuli,5.0,6.0,5.5,valid,0.72
decay_setting_025,Five 1-km annuli,0.0,1.0,0.5,valid,0.88
decay_setting_044,Five 1-km annuli,15.0,16.0,15.5,valid,0.32
decay_setting_020,Five 1-km annuli,15.0,16.0,15.5,valid,0.27
decay_setting_068,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_043,Five 1-km annuli,5.0,6.0,5.5,valid,0.72
decay_setting_022,Five 1-km annuli,15.0,16.0,15.5,valid,0.32
decay_setting_042,Five 1-km annuli,30.0,31.0,30.5,valid,0.23
decay_setting_073,Five 1-km annuli,0.0,1.0,0.5,valid,0.75
decay_setting_090,Five 1-km annuli,15.0,16.0,15.5,valid,0.28
decay_setting_020,Five 1-km annuli,60.0,61.0,60.5,empty,
decay_setting_085,Five 1-km annuli,30.0,31.0,30.5,valid,0.24
decay_setting_028,Five 1-km annuli,15.0,16.0,15.5,valid,0.35
decay_setting_053,Five 1-km annuli,5.0,6.0,5.5,valid,0.72
decay_setting_031,Five 1-km annuli,5.0,6.0,5.5,valid,0.42
decay_setting_085,Five 1-km annuli,0.0,1.0,0.5,valid,0.75
decay_setting_097,Five 1-km annuli,30.0,31.0,30.5,valid,0.23
decay_setting_036,Five 1-km annuli,5.0,6.0,5.5,valid,0.58
decay_setting_092,Five 1-km annuli,5.0,6.0,5.5,valid,0.72
decay_setting_078,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_034,Five 1-km annuli,15.0,16.0,15.5,valid,0.35
decay_setting_080,Five 1-km annuli,15.0,16.0,15.5,valid,0.45
decay_setting_030,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_064,Five 1-km annuli,60.0,61.0,60.5,valid,0.14
decay_setting_026,Five 1-km annuli,30.0,31.0,30.5,empty,
decay_setting_098,Five 1-km annuli,0.0,1.0,0.5,valid,0.75
decay_setting_067,Five 1-km annuli,60.0,61.0,60.5,valid,0.15
decay_setting_045,Five 1-km annuli,0.0,1.0,0.5,valid,0.72
decay_setting_062,Five 1-km annuli,60.0,61.0,60.5,valid,0.05
decay_setting_040,Five 1-km annuli,30.0,31.0,30.5,valid,0.43
decay_setting_002,Five 1-km annuli,0.0,1.0,0.5,valid,0.75
decay_setting_014,Five 1-km annuli,5.0,6.0,5.5,valid,0.43
decay_setting_003,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_014,Five 1-km annuli,60.0,61.0,60.5,valid,0.03
decay_setting_034,Five 1-km annuli,30.0,31.0,30.5,valid,0.15
decay_setting_063,Five 1-km annuli,0.0,1.0,0.5,valid,0.87
decay_setting_085,Five 1-km annuli,15.0,16.0,15.5,valid,0.37
decay_setting_084,Five 1-km annuli,30.0,31.0,30.5,valid,0.06
decay_setting_086,Five 1-km annuli,60.0,61.0,60.5,valid,0.18
decay_setting_094,Five 1-km annuli,15.0,16.0,15.5,valid,0.35
decay_setting_099,Five 1-km annuli,0.0,1.0,0.5,valid,0.74
decay_setting_095,Five 1-km annuli,15.0,16.0,15.5,valid,0.27
decay_setting_031,Five 1-km annuli,60.0,61.0,60.5,valid,0.03
decay_setting_078,Five 1-km annuli,30.0,31.0,30.5,valid,0.15
decay_setting_022,Five 1-km annuli,0.0,1.0,0.5,valid,0.72
decay_setting_001,Five 1-km annuli,15.0,16.0,15.5,valid,0.35
decay_setting_003,Five 1-km annuli,15.0,16.0,15.5,valid,0.35
decay_setting_023,Five 1-km annuli,15.0,16.0,15.5,valid,0.43
decay_setting_061,Five 1-km annuli,60.0,61.0,60.5,valid,0.12
decay_setting_094,Five 1-km annuli,30.0,31.0,30.5,valid,0.17
decay_setting_005,Five 1-km annuli,15.0,16.0,15.5,valid,0.47
decay_setting_012,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_022,Five 1-km annuli,5.0,6.0,5.5,valid,0.47
decay_setting_020,Five 1-km annuli,5.0,6.0,5.5,valid,0.45
decay_setting_093,Five 1-km annuli,5.0,6.0,5.5,valid,0.72
decay_setting_027,Five 1-km annuli,15.0,16.0,15.5,valid,0.72
decay_setting_080,Five 1-km annuli,60.0,61.0,60.5,valid,0.07
decay_setting_085,Five 1-km annuli,60.0,61.0,60.5,valid,0.15
decay_setting_018,Five 1-km annuli,15.0,16.0,15.5,valid,0.27
decay_setting_042,Five 1-km annuli,60.0,61.0,60.5,valid,0.03
decay_setting_099,Five 1-km annuli,30.0,31.0,30.5,valid,0.23
decay_setting_002,Five 1-km annuli,60.0,61.0,60.5,valid,0.12
decay_setting_092,Five 1-km annuli,0.0,1.0,0.5,valid,0.78
decay_setting_059,Five 1-km annuli,60.0,61.0,60.5,valid,0.12
decay_setting_071,Five 1-km annuli,5.0,6.0,5.5,valid,0.63
decay_setting_017,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_002,Five 1-km annuli,15.0,16.0,15.5,valid,0.42
decay_setting_071,Five 1-km annuli,60.0,61.0,60.5,valid,0.13
decay_setting_039,Five 1-km annuli,30.0,31.0,30.5,valid,0.45
decay_setting_054,Five 1-km annuli,60.0,61.0,60.5,valid,0.12
decay_setting_040,Five 1-km annuli,5.0,6.0,5.5,valid,0.72
decay_setting_056,Five 1-km annuli,60.0,61.0,60.5,valid,0.42
decay_setting_065,Five 1-km annuli,5.0,6.0,5.5,valid,0.63
decay_setting_072,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_059,Five 1-km annuli,0.0,1.0,0.5,empty,
decay_setting_061,Five 1-km annuli,30.0,31.0,30.5,valid,0.42
decay_setting_018,Five 1-km annuli,30.0,31.0,30.5,valid,0.17
decay_setting_054,Five 1-km annuli,0.0,1.0,0.5,valid,0.65
decay_setting_004,Five 1-km annuli,5.0,6.0,5.5,valid,0.73
decay_setting_058,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_091,Five 1-km annuli,15.0,16.0,15.5,valid,0.72
decay_setting_018,Five 1-km annuli,60.0,61.0,60.5,valid,0.07
decay_setting_038,Five 1-km annuli,60.0,61.0,60.5,valid,0.05
decay_setting_067,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_044,Five 1-km annuli,5.0,6.0,5.5,valid,0.67
decay_setting_084,Five 1-km annuli,0.0,1.0,0.5,valid,0.75
decay_setting_082,Five 1-km annuli,60.0,61.0,60.5,valid,0.18
decay_setting_008,Five 1-km annuli,15.0,16.0,15.5,valid,0.62
decay_setting_030,Five 1-km annuli,30.0,31.0,30.5,valid,0.24
decay_setting_031,Five 1-km annuli,15.0,16.0,15.5,valid,0.26
decay_setting_075,Five 1-km annuli,60.0,61.0,60.5,valid,0.12
decay_setting_086,Five 1-km annuli,30.0,31.0,30.5,valid,0.37
decay_setting_018,Five 1-km annuli,5.0,6.0,5.5,valid,0.52
decay_setting_052,Five 1-km annuli,60.0,61.0,60.5,valid,0.08
decay_setting_020,Five 1-km annuli,30.0,31.0,30.5,valid,0.15
decay_setting_079,Five 1-km annuli,5.0,6.0,5.5,valid,0.78
decay_setting_047,Five 1-km annuli,5.0,6.0,5.5,valid,0.63
decay_setting_009,Five 1-km annuli,0.0,1.0,0.5,valid,0.72
decay_setting_036,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_036,Five 1-km annuli,15.0,16.0,15.5,valid,0.32
decay_setting_060,Five 1-km annuli,60.0,61.0,60.5,valid,0.03
decay_setting_009,Five 1-km annuli,5.0,6.0,5.5,valid,0.37
decay_setting_041,Five 1-km annuli,0.0,1.0,0.5,valid,0.75
decay_setting_014,Five 1-km annuli,30.0,31.0,30.5,valid,0.12
decay_setting_007,Five 1-km annuli,30.0,31.0,30.5,valid,0.46
decay_setting_062,Five 1-km annuli,15.0,16.0,15.5,valid,0.42
decay_setting_096,Five 1-km annuli,0.0,1.0,0.5,valid,0.68
decay_setting_096,Five 1-km annuli,15.0,16.0,15.5,valid,0.34
decay_setting_058,Five 1-km annuli,30.0,31.0,30.5,valid,0.42
decay_setting_056,Five 1-km annuli,0.0,1.0,0.5,valid,0.78
decay_setting_032,Five 1-km annuli,15.0,16.0,15.5,empty,
decay_setting_090,Five 1-km annuli,5.0,6.0,5.5,valid,0.35
decay_setting_014,Five 1-km annuli,15.0,16.0,15.5,valid,0.27
decay_setting_045,Five 1-km annuli,15.0,16.0,15.5,valid,0.72
decay_setting_082,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_038,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_016,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_069,Five 1-km annuli,5.0,6.0,5.5,valid,0.54
decay_setting_030,Five 1-km annuli,60.0,61.0,60.5,valid,0.15
decay_setting_079,Five 1-km annuli,60.0,61.0,60.5,valid,0.18
decay_setting_083,Five 1-km annuli,5.0,6.0,5.5,valid,0.42
decay_setting_008,Five 1-km annuli,30.0,31.0,30.5,valid,0.13
decay_setting_090,Five 1-km annuli,30.0,31.0,30.5,valid,0.15
decay_setting_051,Five 1-km annuli,0.0,1.0,0.5,valid,0.78
decay_setting_004,Five 1-km annuli,15.0,16.0,15.5,valid,0.47
decay_setting_033,Five 1-km annuli,15.0,16.0,15.5,empty,
decay_setting_058,Five 1-km annuli,15.0,16.0,15.5,valid,0.67
decay_setting_051,Five 1-km annuli,60.0,61.0,60.5,valid,0.17
decay_setting_003,Five 1-km annuli,30.0,31.0,30.5,valid,0.18
decay_setting_028,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_054,Five 1-km annuli,30.0,31.0,30.5,valid,0.12
decay_setting_076,Five 1-km annuli,15.0,16.0,15.5,empty,
decay_setting_090,Five 1-km annuli,60.0,61.0,60.5,valid,0.12
decay_setting_072,Five 1-km annuli,15.0,16.0,15.5,valid,0.35
decay_setting_091,Five 1-km annuli,5.0,6.0,5.5,valid,0.78
decay_setting_020,Five 1-km annuli,0.0,1.0,0.5,valid,0.65
decay_setting_033,Five 1-km annuli,5.0,6.0,5.5,valid,0.45
decay_setting_013,Five 1-km annuli,60.0,61.0,60.5,valid,0.02
decay_setting_048,Five 1-km annuli,60.0,61.0,60.5,valid,0.08
decay_setting_017,Five 1-km annuli,30.0,31.0,30.5,valid,0.27
decay_setting_039,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_072,Five 1-km annuli,60.0,61.0,60.5,valid,0.12
decay_setting_001,Five 1-km annuli,0.0,1.0,0.5,empty,
decay_setting_065,Five 1-km annuli,15.0,16.0,15.5,valid,0.32
decay_setting_027,Five 1-km annuli,0.0,1.0,0.5,valid,0.86
decay_setting_095,Five 1-km annuli,30.0,31.0,30.5,valid,0.15
decay_setting_004,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_046,Five 1-km annuli,30.0,31.0,30.5,valid,0.28
decay_setting_040,Five 1-km annuli,15.0,16.0,15.5,empty,
decay_setting_032,Five 1-km annuli,0.0,1.0,0.5,valid,0.72
decay_setting_032,Five 1-km annuli,60.0,61.0,60.5,valid,0.13
decay_setting_011,Five 1-km annuli,30.0,31.0,30.5,valid,0.08
decay_setting_084,Five 1-km annuli,15.0,16.0,15.5,valid,0.27
decay_setting_028,Five 1-km annuli,30.0,31.0,30.5,valid,0.35
decay_setting_028,Five 1-km annuli,5.0,6.0,5.5,empty,
decay_setting_051,Five 1-km annuli,15.0,16.0,15.5,valid,0.34
decay_setting_074,Five 1-km annuli,60.0,61.0,60.5,valid,0.12
decay_setting_094,Five 1-km annuli,5.0,6.0,5.5,valid,0.37
decay_setting_042,Five 1-km annuli,5.0,6.0,5.5,valid,0.72
decay_setting_079,Five 1-km annuli,15.0,16.0,15.5,valid,0.52
decay_setting_019,Five 1-km annuli,0.0,1.0,0.5,valid,0.83
decay_setting_041,Five 1-km annuli,60.0,61.0,60.5,valid,0.12
decay_setting_024,Five 1-km annuli,5.0,6.0,5.5,empty,
decay_setting_030,Five 1-km annuli,5.0,6.0,5.5,valid,0.57
decay_setting_087,Five 1-km annuli,5.0,6.0,5.5,valid,0.42
decay_setting_048,Five 1-km annuli,5.0,6.0,5.5,empty,
decay_setting_058,Five 1-km annuli,5.0,6.0,5.5,valid,0.72
decay_setting_052,Five 1-km annuli,30.0,31.0,30.5,valid,0.12
decay_setting_016,Five 1-km annuli,5.0,6.0,5.5,valid,0.47
decay_setting_062,Five 1-km annuli,5.0,6.0,5.5,valid,0.32
decay_setting_092,Five 1-km annuli,30.0,31.0,30.5,valid,0.34
decay_setting_053,Five 1-km annuli,15.0,16.0,15.5,valid,0.35
decay_setting_094,Five 1-km annuli,60.0,61.0,60.5,valid,0.12
decay_setting_001,Five 1-km annuli,30.0,31.0,30.5,empty,
decay_setting_037,Five 1-km annuli,0.0,1.0,0.5,valid,0.68
decay_setting_079,Five 1-km annuli,30.0,31.0,30.5,empty,
decay_setting_095,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_075,Five 1-km annuli,30.0,31.0,30.5,valid,0.27
decay_setting_032,Five 1-km annuli,5.0,6.0,5.5,valid,0.47
decay_setting_021,Five 1-km annuli,5.0,6.0,5.5,valid,0.54
decay_setting_048,Five 1-km annuli,15.0,16.0,15.5,empty,
decay_setting_009,Five 1-km annuli,60.0,61.0,60.5,valid,0.02
decay_setting_081,Five 1-km annuli,30.0,31.0,30.5,valid,0.14
decay_setting_082,Five 1-km annuli,5.0,6.0,5.5,valid,0.72
decay_setting_043,Five 1-km annuli,30.0,31.0,30.5,valid,0.42
decay_setting_003,Five 1-km annuli,60.0,61.0,60.5,valid,0.12
decay_setting_045,Five 1-km annuli,60.0,61.0,60.5,empty,
decay_setting_066,Five 1-km annuli,30.0,31.0,30.5,valid,0.15
decay_setting_082,Five 1-km annuli,30.0,31.0,30.5,valid,0.23
decay_setting_097,Five 1-km annuli,0.0,1.0,0.5,valid,0.78
decay_setting_055,Five 1-km annuli,15.0,16.0,15.5,valid,0.34
decay_setting_061,Five 1-km annuli,15.0,16.0,15.5,valid,0.48
decay_setting_006,Five 1-km annuli,0.0,1.0,0.5,empty,
decay_setting_041,Five 1-km annuli,30.0,31.0,30.5,valid,0.22
decay_setting_073,Five 1-km annuli,30.0,31.0,30.5,valid,0.15
decay_setting_006,Five 1-km annuli,15.0,16.0,15.5,valid,0.37
decay_setting_006,Five 1-km annuli,30.0,31.0,30.5,valid,0.16
decay_setting_074,Five 1-km annuli,5.0,6.0,5.5,empty,
decay_setting_036,Five 1-km annuli,30.0,31.0,30.5,empty,
decay_setting_070,Five 1-km annuli,15.0,16.0,15.5,valid,0.62
decay_setting_073,Five 1-km annuli,15.0,16.0,15.5,empty,
decay_setting_077,Five 1-km annuli,15.0,16.0,15.5,valid,0.25
decay_setting_064,Five 1-km annuli,30.0,31.0,30.5,valid,0.35
decay_setting_071,Five 1-km annuli,30.0,31.0,30.5,valid,0.23
decay_setting_089,Five 1-km annuli,0.0,1.0,0.5,valid,0.72
decay_setting_025,Five 1-km annuli,5.0,6.0,5.5,valid,0.72
decay_setting_089,Five 1-km annuli,30.0,31.0,30.5,valid,0.43
decay_setting_026,Five 1-km annuli,5.0,6.0,5.5,valid,0.65
decay_setting_085,Five 1-km annuli,5.0,6.0,5.5,valid,0.65
decay_setting_017,Five 1-km annuli,5.0,6.0,5.5,valid,0.62
decay_setting_059,Five 1-km annuli,30.0,31.0,30.5,valid,0.18
decay_setting_072,Five 1-km annuli,5.0,6.0,5.5,valid,0.63
decay_setting_081,Five 1-km annuli,60.0,61.0,60.5,valid,0.18
decay_setting_007,Five 1-km annuli,5.0,6.0,5.5,valid,0.72
decay_setting_076,Five 1-km annuli,30.0,31.0,30.5,valid,0.15
decay_setting_051,Five 1-km annuli,5.0,6.0,5.5,valid,0.65
decay_setting_013,Five 1-km annuli,5.0,6.0,5.5,valid,0.35
decay_setting_022,Five 1-km annuli,60.0,61.0,60.5,valid,0.02
decay_setting_055,Five 1-km annuli,60.0,61.0,60.5,valid,0.12
decay_setting_017,Five 1-km annuli,60.0,61.0,60.5,valid,0.15
decay_setting_073,Five 1-km annuli,60.0,61.0,60.5,valid,0.12
decay_setting_074,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_009,Five 1-km annuli,15.0,16.0,15.5,valid,0.32
decay_setting_087,Five 1-km annuli,0.0,1.0,0.5,valid,0.73
decay_setting_089,Five 1-km annuli,15.0,16.0,15.5,valid,0.45
decay_setting_004,Five 1-km annuli,30.0,31.0,30.5,valid,0.35
decay_setting_055,Five 1-km annuli,0.0,1.0,0.5,valid,0.72
decay_setting_093,Five 1-km annuli,15.0,16.0,15.5,valid,0.63
decay_setting_081,Five 1-km annuli,5.0,6.0,5.5,valid,0.43
decay_setting_038,Five 1-km annuli,5.0,6.0,5.5,valid,0.57
decay_setting_053,Five 1-km annuli,60.0,61.0,60.5,valid,0.02
decay_setting_044,Five 1-km annuli,30.0,31.0,30.5,valid,0.35
decay_setting_060,Five 1-km annuli,0.0,1.0,0.5,valid,0.87
decay_setting_073,Five 1-km annuli,5.0,6.0,5.5,valid,0.42
decay_setting_078,Five 1-km annuli,5.0,6.0,5.5,valid,0.47
decay_setting_100,Five 1-km annuli,30.0,31.0,30.5,valid,0.18
decay_setting_035,Five 1-km annuli,30.0,31.0,30.5,valid,0.42
decay_setting_064,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_017,Five 1-km annuli,15.0,16.0,15.5,valid,0.34
decay_setting_083,Five 1-km annuli,30.0,31.0,30.5,valid,0.15
decay_setting_037,Five 1-km annuli,15.0,16.0,15.5,valid,0.37
decay_setting_015,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_016,Five 1-km annuli,15.0,16.0,15.5,valid,0.32
decay_setting_080,Five 1-km annuli,5.0,6.0,5.5,valid,0.37
decay_setting_074,Five 1-km annuli,15.0,16.0,15.5,valid,0.47
decay_setting_095,Five 1-km annuli,60.0,61.0,60.5,valid,0.05
decay_setting_060,Five 1-km annuli,5.0,6.0,5.5,valid,0.47
decay_setting_047,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_021,Five 1-km annuli,30.0,31.0,30.5,valid,0.14
decay_setting_016,Five 1-km annuli,60.0,61.0,60.5,valid,0.12
decay_setting_022,Five 1-km annuli,30.0,31.0,30.5,valid,0.12
decay_setting_038,Five 1-km annuli,15.0,16.0,15.5,valid,0.37
decay_setting_033,Five 1-km annuli,60.0,61.0,60.5,valid,0.03
decay_setting_089,Five 1-km annuli,5.0,6.0,5.5,valid,0.63
decay_setting_033,Five 1-km annuli,30.0,31.0,30.5,valid,0.52
decay_setting_029,Five 1-km annuli,60.0,61.0,60.5,valid,0.12
decay_setting_090,Five 1-km annuli,0.0,1.0,0.5,valid,0.75
decay_setting_008,Five 1-km annuli,5.0,6.0,5.5,valid,0.72
decay_setting_041,Five 1-km annuli,5.0,6.0,5.5,valid,0.75
decay_setting_063,Five 1-km annuli,15.0,16.0,15.5,valid,0.63
decay_setting_025,Five 1-km annuli,15.0,16.0,15.5,valid,0.62
decay_setting_024,Five 1-km annuli,15.0,16.0,15.5,valid,0.74
decay_setting_067,Five 1-km annuli,15.0,16.0,15.5,valid,0.42
decay_setting_043,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_088,Five 1-km annuli,15.0,16.0,15.5,valid,0.38
decay_setting_066,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_074,Five 1-km annuli,30.0,31.0,30.5,valid,0.42
decay_setting_057,Five 1-km annuli,30.0,31.0,30.5,valid,0.12
decay_setting_019,Five 1-km annuli,5.0,6.0,5.5,valid,0.65
decay_setting_016,Five 1-km annuli,30.0,31.0,30.5,valid,0.12
decay_setting_025,Five 1-km annuli,30.0,31.0,30.5,valid,0.42
