generation_id,prompt_condition,row_number,fictional_city,population,total_road_length,gdp
distribution_baseline_001,Baseline prompt,29,CityName29,648297.0,1609.0,18574.0
distribution_baseline_001,Baseline prompt,30,CityName30,357298.0,847.0,9586.0
distribution_baseline_001,Baseline prompt,31,CityName31,272356.0,683.0,8149.0
distribution_baseline_001,Baseline prompt,32,CityName32,739485.0,1948.0,22019.0
distribution_baseline_001,Baseline prompt,33,CityName33,148572.0,376.0,5318.0
distribution_baseline_001,Baseline prompt,34,CityName34,525847.0,1324.0,14139.0
distribution_baseline_001,Baseline prompt,35,CityName35,418563.0,1079.0,11856.0
distribution_baseline_001,Baseline prompt,36,CityName36,849573.0,2339.0,26349.0
distribution_baseline_001,Baseline prompt,37,CityName37,596248.0,1472.0,16839.0
distribution_baseline_001,Baseline prompt,38,CityName38,368595.0,897.0,10231.0
distribution_baseline_001,Baseline prompt,39,CityName39,198465.0,459.0,5729.0
distribution_baseline_001,Baseline prompt,40,CityName40,412857.0,1043.0,11374.0
distribution_baseline_001,Baseline prompt,41,CityName41,752846.0,1989.0,22247.0
distribution_baseline_001,Baseline prompt,42,CityName42,163874.0,394.0,5497.0
distribution_baseline_001,Baseline prompt,43,CityName43,582394.0,1407.0,16123.0
distribution_baseline_001,Baseline prompt,44,CityName44,309847.0,789.0,8947.0
distribution_baseline_001,Baseline prompt,45,CityName45,475692.0,1012.0,12468.0
distribution_baseline_001,Baseline prompt,46,CityName46,197836.0,453.0,5583.0
distribution_baseline_001,Baseline prompt,47,CityName47,628395.0,1573.0,18029.0
distribution_baseline_001,Baseline prompt,48,CityName48,829341.0,2389.0,26957.0
distribution_baseline_001,Baseline prompt,49,CityName49,423567.0,1128.0,12175.0
distribution_baseline_001,Baseline prompt,50,CityName50,389476.0,917.0,10348.0
distribution_baseline_001,Baseline prompt,51,CityName51,532948.0,1327.0,13391.0
distribution_baseline_001,Baseline prompt,52,CityName52,208357.0,498.0,5834.0
distribution_baseline_001,Baseline prompt,53,CityName53,483569.0,1234.0,12845.0
distribution_baseline_001,Baseline prompt,54,CityName54,761829.0,2067.0,22756.0
distribution_baseline_001,Baseline prompt,55,CityName55,149387.0,362.0,5189.0
distribution_baseline_001,Baseline prompt,56,CityName56,652483.0,1654.0,19034.0
distribution_baseline_001,Baseline prompt,57,CityName57,356984.0,869.0,9472.0
distribution_baseline_001,Baseline prompt,58,CityName58,214378.0,524.0,5937.0
distribution_baseline_001,Baseline prompt,59,CityName59,598346.0,1529.0,16248.0
distribution_baseline_001,Baseline prompt,60,CityName60,847586.0,2356.0,26592.0
distribution_baseline_001,Baseline prompt,61,CityName61,473895.0,1112.0,12047.0
distribution_baseline_001,Baseline prompt,62,CityName62,389247.0,942.0,10395.0
distribution_baseline_001,Baseline prompt,63,CityName63,512948.0,1298.0,13019.0
distribution_baseline_001,Baseline prompt,64,CityName64,304976.0,789.0,8264.0
distribution_baseline_001,Baseline prompt,65,CityName65,672894.0,1789.0,19573.0
distribution_baseline_001,Baseline prompt,66,CityName66,129457.0,302.0,4756.0
distribution_baseline_001,Baseline prompt,67,CityName67,809234.0,2305.0,26184.0
distribution_baseline_001,Baseline prompt,68,CityName68,487259.0,1197.0,11742.0
distribution_baseline_001,Baseline prompt,69,CityName69,238974.0,617.0,6548.0
distribution_baseline_001,Baseline prompt,70,CityName70,345896.0,798.0,9391.0
distribution_baseline_001,Baseline prompt,71,CityName71,528349.0,1239.0,13648.0
distribution_baseline_001,Baseline prompt,72,CityName72,198573.0,486.0,5814.0
distribution_baseline_001,Baseline prompt,73,CityName73,683257.0,1827.0,20029.0
distribution_baseline_001,Baseline prompt,74,CityName74,287956.0,743.0,8356.0
distribution_baseline_001,Baseline prompt,75,CityName75,389675.0,923.0,10147.0
distribution_baseline_001,Baseline prompt,76,CityName76,752983.0,2073.0,22468.0
distribution_baseline_001,Baseline prompt,77,CityName77,438295.0,1127.0,12189.0
distribution_baseline_001,Baseline prompt,78,CityName78,148753.0,368.0,5423.0
distribution_baseline_001,Baseline prompt,79,CityName79,492864.0,1249.0,13127.0
distribution_baseline_001,Baseline prompt,80,CityName80,849365.0,2397.0,27036.0
distribution_baseline_001,Baseline prompt,81,CityName81,127458.0,296.0,4537.0
distribution_baseline_001,Baseline prompt,82,CityName82,692347.0,1748.0,18849.0
distribution_baseline_001,Baseline prompt,83,CityName83,378295.0,894.0,10198.0
distribution_baseline_001,Baseline prompt,84,CityName84,241973.0,604.0,6428.0
distribution_baseline_001,Baseline prompt,85,CityName85,498267.0,1273.0,13289.0
distribution_baseline_001,Baseline prompt,86,CityName86,809732.0,2246.0,25927.0
distribution_baseline_001,Baseline prompt,87,CityName87,134785.0,319.0,4876.0
distribution_baseline_001,Baseline prompt,88,CityName88,583496.0,1436.0,16387.0
distribution_baseline_001,Baseline prompt,89,CityName89,329874.0,837.0,9129.0
distribution_baseline_001,Baseline prompt,90,CityName90,721859.0,1938.0,21987.0
distribution_baseline_001,Baseline prompt,91,CityName91,248957.0,603.0,6598.0
distribution_baseline_001,Baseline prompt,92,CityName92,451983.0,1052.0,11532.0
distribution_baseline_001,Baseline prompt,93,CityName93,837594.0,2187.0,25439.0
distribution_baseline_001,Baseline prompt,94,CityName94,398475.0,973.0,10954.0
distribution_baseline_001,Baseline prompt,95,CityName95,152839.0,348.0,5179.0
distribution_baseline_001,Baseline prompt,96,CityName96,627943.0,1572.0,18183.0
distribution_baseline_001,Baseline prompt,97,CityName97,473859.0,1123.0,12049.0
distribution_baseline_001,Baseline prompt,98,CityName98,207384.0,487.0,5819.0
distribution_baseline_001,Baseline prompt,99,CityName99,349671.0,816.0,9482.0
distribution_baseline_001,Baseline prompt,100,CityName100,572849.0,1378.0,15279.0
distribution_baseline_002,Baseline prompt,1,CityName1,205000.0,1500.0,85000000.0
distribution_baseline_002,Baseline prompt,2,CityName2,320000.0,2100.0,125000000.0
distribution_baseline_002,Baseline prompt,3,CityName3,450000.0,2800.0,190000000.0
distribution_baseline_002,Baseline prompt,4,CityName4,510000.0,3100.0,215000000.0
distribution_baseline_002,Baseline prompt,5,CityName5,890000.0,4300.0,370000000.0
distribution_baseline_002,Baseline prompt,6,CityName6,620000.0,3400.0,250000000.0
distribution_baseline_002,Baseline prompt,7,CityName7,760000.0,3800.0,320000000.0
distribution_baseline_002,Baseline prompt,8,CityName8,380000.0,2300.0,130000000.0
distribution_baseline_002,Baseline prompt,9,CityName9,150000.0,1000.0,60000000.0
distribution_baseline_002,Baseline prompt,10,CityName10,110000.0,800.0,40000000.0
distribution_baseline_002,Baseline prompt,11,CityName11,870000.0,4200.0,355000000.0
distribution_baseline_002,Baseline prompt,12,CityName12,245000.0,1600.0,95000000.0
distribution_baseline_002,Baseline prompt,13,CityName13,955000.0,4500.0,400000000.0
distribution_baseline_002,Baseline prompt,14,CityName14,540000.0,2900.0,225000000.0
distribution_baseline_002,Baseline prompt,15,CityName15,350000.0,2200.0,120000000.0
distribution_baseline_002,Baseline prompt,16,CityName16,670000.0,3600.0,275000000.0
distribution_baseline_002,Baseline prompt,17,CityName17,305000.0,2100.0,115000000.0
distribution_baseline_002,Baseline prompt,18,CityName18,480000.0,2600.0,200000000.0
distribution_baseline_002,Baseline prompt,19,CityName19,400000.0,2400.0,150000000.0
distribution_baseline_002,Baseline prompt,20,CityName20,825000.0,4100.0,350000000.0
distribution_baseline_002,Baseline prompt,21,CityName21,290000.0,1900.0,105000000.0
distribution_baseline_002,Baseline prompt,22,CityName22,76000.0,600.0,30000000.0
distribution_baseline_002,Baseline prompt,23,CityName23,1200000.0,5100.0,500000000.0
distribution_baseline_002,Baseline prompt,24,CityName24,86000.0,700.0,32000000.0
distribution_baseline_002,Baseline prompt,25,CityName25,920000.0,4300.0,360000000.0
distribution_baseline_002,Baseline prompt,26,CityName26,580000.0,3100.0,230000000.0
distribution_baseline_002,Baseline prompt,27,CityName27,470000.0,2700.0,185000000.0
distribution_baseline_002,Baseline prompt,28,CityName28,303000.0,2000.0,110000000.0
distribution_baseline_002,Baseline prompt,29,CityName29,820000.0,4000.0,345000000.0
distribution_baseline_002,Baseline prompt,30,CityName30,615000.0,3500.0,255000000.0
distribution_baseline_002,Baseline prompt,31,CityName31,228000.0,1700.0,91000000.0
distribution_baseline_002,Baseline prompt,32,CityName32,495000.0,2500.0,195000000.0
distribution_baseline_002,Baseline prompt,33,CityName33,720000.0,3900.0,305000000.0
distribution_baseline_002,Baseline prompt,34,CityName34,555000.0,3300.0,230000000.0
distribution_baseline_002,Baseline prompt,35,CityName35,395000.0,2400.0,140000000.0
distribution_baseline_002,Baseline prompt,36,CityName36,1502000.0,6200.0,650000000.0
distribution_baseline_002,Baseline prompt,37,CityName37,125000.0,900.0,50000000.0
distribution_baseline_002,Baseline prompt,38,CityName38,880000.0,4350.0,365000000.0
distribution_baseline_002,Baseline prompt,39,CityName39,47000.0,500.0,22000000.0
distribution_baseline_002,Baseline prompt,40,CityName40,310000.0,2000.0,118000000.0
distribution_baseline_002,Baseline prompt,41,CityName41,212000.0,1600.0,86000000.0
distribution_baseline_002,Baseline prompt,42,CityName42,975000.0,4600.0,410000000.0
distribution_baseline_002,Baseline prompt,43,CityName43,67000.0,550.0,28000000.0
distribution_baseline_002,Baseline prompt,44,CityName44,1090000.0,5000.0,470000000.0
distribution_baseline_002,Baseline prompt,45,CityName45,72000.0,600.0,32000000.0
distribution_baseline_002,Baseline prompt,46,CityName46,930000.0,4400.0,370000000.0
distribution_baseline_002,Baseline prompt,47,CityName47,595000.0,3200.0,240000000.0
distribution_baseline_002,Baseline prompt,48,CityName48,78000.0,580.0,30000000.0
distribution_baseline_002,Baseline prompt,49,CityName49,314000.0,2100.0,122000000.0
distribution_baseline_002,Baseline prompt,50,CityName50,620000.0,3400.0,265000000.0
distribution_baseline_002,Baseline prompt,51,CityName51,150000.0,1100.0,68000000.0
distribution_baseline_002,Baseline prompt,52,CityName52,405000.0,2400.0,165000000.0
distribution_baseline_002,Baseline prompt,53,CityName53,745000.0,3850.0,295000000.0
distribution_baseline_002,Baseline prompt,54,CityName54,527000.0,3100.0,220000000.0
distribution_baseline_002,Baseline prompt,55,CityName55,380000.0,2300.0,135000000.0
distribution_baseline_002,Baseline prompt,56,CityName56,1620000.0,6500.0,670000000.0
distribution_baseline_002,Baseline prompt,57,CityName57,32000.0,450.0,18000000.0
distribution_baseline_002,Baseline prompt,58,CityName58,835000.0,4100.0,340000000.0
distribution_baseline_002,Baseline prompt,59,CityName59,57000.0,520.0,25000000.0
distribution_baseline_002,Baseline prompt,60,CityName60,980000.0,4600.0,402000000.0
distribution_baseline_002,Baseline prompt,61,CityName61,78000.0,630.0,33000000.0
distribution_baseline_002,Baseline prompt,62,CityName62,1210000.0,5200.0,510000000.0
distribution_baseline_002,Baseline prompt,63,CityName63,115000.0,840.0,49000000.0
distribution_baseline_002,Baseline prompt,64,CityName64,885000.0,4400.0,360000000.0
distribution_baseline_002,Baseline prompt,65,CityName65,590000.0,3100.0,245000000.0
distribution_baseline_002,Baseline prompt,66,CityName66,812000.0,4000.0,320000000.0
distribution_baseline_002,Baseline prompt,67,CityName67,615000.0,3500.0,255000000.0
distribution_baseline_002,Baseline prompt,68,CityName68,228000.0,1700.0,91000000.0
distribution_baseline_002,Baseline prompt,69,CityName69,895000.0,4500.0,380000000.0
distribution_baseline_002,Baseline prompt,70,CityName70,700000.0,3750.0,300000000.0
distribution_baseline_002,Baseline prompt,71,CityName71,39000.0,490.0,17000000.0
distribution_baseline_002,Baseline prompt,72,CityName72,305000.0,1900.0,112000000.0
distribution_baseline_002,Baseline prompt,73,CityName73,790000.0,3950.0,316000000.0
distribution_baseline_002,Baseline prompt,74,CityName74,525000.0,3200.0,230000000.0
distribution_baseline_002,Baseline prompt,75,CityName75,1294000.0,5700.0,560000000.0
distribution_baseline_002,Baseline prompt,76,CityName76,345000.0,2300.0,132000000.0
distribution_baseline_002,Baseline prompt,77,CityName77,679000.0,3600.0,272000000.0
distribution_baseline_002,Baseline prompt,78,CityName78,315000.0,2100.0,113000000.0
distribution_baseline_002,Baseline prompt,79,CityName79,500000.0,2900.0,200000000.0
distribution_baseline_002,Baseline prompt,80,CityName80,830000.0,4200.0,360000000.0
distribution_baseline_002,Baseline prompt,81,CityName81,290000.0,1900.0,102000000.0
distribution_baseline_002,Baseline prompt,82,CityName82,76000.0,600.0,30000000.0
distribution_baseline_002,Baseline prompt,83,CityName83,1200000.0,5100.0,490000000.0
distribution_baseline_002,Baseline prompt,84,CityName84,86000.0,700.0,32000000.0
distribution_baseline_002,Baseline prompt,85,CityName85,155000.0,950.0,70000000.0
distribution_baseline_002,Baseline prompt,86,CityName86,403000.0,2550.0,160000000.0
distribution_baseline_002,Baseline prompt,87,CityName87,735000.0,3700.0,288000000.0
distribution_baseline_002,Baseline prompt,88,CityName88,218000.0,1650.0,87000000.0
distribution_baseline_002,Baseline prompt,89,CityName89,960000.0,4520.0,400000000.0
distribution_baseline_002,Baseline prompt,90,CityName90,60000.0,560.0,27000000.0
distribution_baseline_002,Baseline prompt,91,CityName91,1085000.0,4950.0,465000000.0
distribution_baseline_002,Baseline prompt,92,CityName92,73500.0,610.0,31000000.0
distribution_baseline_002,Baseline prompt,93,CityName93,915000.0,4250.0,350000000.0
distribution_baseline_002,Baseline prompt,94,CityName94,575000.0,2800.0,245000000.0
distribution_baseline_002,Baseline prompt,95,CityName95,315000.0,2100.0,113000000.0
distribution_baseline_002,Baseline prompt,96,CityName96,490000.0,2400.0,190000000.0
distribution_baseline_002,Baseline prompt,97,CityName97,805000.0,4100.0,340000000.0
distribution_baseline_002,Baseline prompt,98,CityName98,285000.0,1800.0,98000000.0
distribution_baseline_002,Baseline prompt,99,CityName99,75000.0,590.0,35000000.0
distribution_baseline_002,Baseline prompt,100,CityName100,1215000.0,5250.0,520000000.0
distribution_baseline_003,Baseline prompt,1,City1,520000.0,1200.0,9200000000.0
distribution_baseline_003,Baseline prompt,2,City2,380000.0,950.0,7500000000.0
distribution_baseline_003,Baseline prompt,3,City3,1250000.0,2050.0,21800000000.0
distribution_baseline_003,Baseline prompt,4,City4,2300000.0,3300.0,34500000000.0
distribution_baseline_003,Baseline prompt,5,City5,780000.0,1240.0,10800000000.0
distribution_baseline_003,Baseline prompt,6,City6,610000.0,980.0,8300000000.000001
distribution_baseline_003,Baseline prompt,7,City7,980000.0,1800.0,14900000000.0
distribution_baseline_003,Baseline prompt,8,City8,1110000.0,2100.0,17100000000.000002
distribution_baseline_003,Baseline prompt,9,City9,720000.0,1030.0,9700000000.0
distribution_baseline_003,Baseline prompt,10,City10,465000.0,870.0,6500000000.0
distribution_baseline_003,Baseline prompt,11,City11,1800000.0,2900.0,27600000000.0
distribution_baseline_003,Baseline prompt,12,City12,590000.0,940.0,7900000000.0
distribution_baseline_003,Baseline prompt,13,City13,850000.0,1150.0,13200000000.0
distribution_baseline_003,Baseline prompt,14,City14,695000.0,1000.0,8800000000.0
distribution_baseline_003,Baseline prompt,15,City15,460000.0,790.0,6200000000.0
distribution_baseline_003,Baseline prompt,16,City16,1090000.0,1950.0,16399999999.999998
distribution_baseline_003,Baseline prompt,17,City17,880000.0,1350.0,12700000000.0
distribution_baseline_003,Baseline prompt,18,City18,540000.0,860.0,7100000000.0
distribution_baseline_003,Baseline prompt,19,City19,495000.0,820.0,6400000000.0
distribution_baseline_003,Baseline prompt,20,City20,1350000.0,2400.0,20300000000.0
distribution_baseline_003,Baseline prompt,21,City21,620000.0,1040.0,7800000000.0
distribution_baseline_003,Baseline prompt,22,City22,470000.0,770.0,6300000000.0
distribution_baseline_003,Baseline prompt,23,City23,920000.0,1510.0,14300000000.0
distribution_baseline_003,Baseline prompt,24,City24,1030000.0,1880.0,15700000000.0
distribution_baseline_003,Baseline prompt,25,City25,770000.0,1200.0,10900000000.0
distribution_baseline_003,Baseline prompt,26,City26,360000.0,650.0,5700000000.0
distribution_baseline_003,Baseline prompt,27,City27,1800000.0,3300.0,27900000000.0
distribution_baseline_003,Baseline prompt,28,City28,580000.0,910.0,7600000000.0
distribution_baseline_003,Baseline prompt,29,City29,640000.0,1120.0,8199999999.999999
distribution_baseline_003,Baseline prompt,30,City30,1250000.0,2050.0,21400000000.0
distribution_baseline_003,Baseline prompt,31,City31,790000.0,1200.0,11000000000.0
distribution_baseline_003,Baseline prompt,32,City32,570000.0,930.0,7400000000.0
distribution_baseline_003,Baseline prompt,33,City33,955000.0,1580.0,15000000000.0
distribution_baseline_003,Baseline prompt,34,City34,1430000.0,2560.0,23000000000.0
distribution_baseline_003,Baseline prompt,35,City35,610000.0,1000.0,8000000000.0
distribution_baseline_003,Baseline prompt,36,City36,500000.0,890.0,6700000000.0
distribution_baseline_003,Baseline prompt,37,City37,1700000.0,3100.0,26700000000.0
distribution_baseline_003,Baseline prompt,38,City38,465000.0,820.0,6200000000.0
distribution_baseline_003,Baseline prompt,39,City39,880000.0,1400.0,12500000000.0
distribution_baseline_003,Baseline prompt,40,City40,710000.0,1080.0,9500000000.0
distribution_baseline_003,Baseline prompt,41,City41,1200000.0,2000.0,20000000000.0
distribution_baseline_003,Baseline prompt,42,City42,580000.0,910.0,7800000000.0
distribution_baseline_003,Baseline prompt,43,City43,1050000.0,1860.0,16000000000.0
distribution_baseline_003,Baseline prompt,44,City44,625000.0,1050.0,8000000000.0
distribution_baseline_003,Baseline prompt,45,City45,475000.0,800.0,6300000000.0
distribution_baseline_003,Baseline prompt,46,City46,1350000.0,2200.0,20200000000.0
distribution_baseline_003,Baseline prompt,47,City47,705000.0,1000.0,9000000000.0
distribution_baseline_003,Baseline prompt,48,City48,965000.0,1600.0,15000000000.0
distribution_baseline_003,Baseline prompt,49,City49,1140000.0,1950.0,17600000000.0
distribution_baseline_003,Baseline prompt,50,City50,785000.0,1300.0,11800000000.0
distribution_baseline_003,Baseline prompt,51,City51,550000.0,870.0,7000000000.0
distribution_baseline_003,Baseline prompt,52,City52,1900000.0,3400.0,30000000000.0
distribution_baseline_003,Baseline prompt,53,City53,800000.0,1250.0,12000000000.0
distribution_baseline_003,Baseline prompt,54,City54,380000.0,680.0,5500000000.0
distribution_baseline_003,Baseline prompt,55,City55,1500000.0,2500.0,25000000000.0
distribution_baseline_003,Baseline prompt,56,City56,685000.0,1035.0,9000000000.0
distribution_baseline_003,Baseline prompt,57,City57,595000.0,960.0,7800000000.0
distribution_baseline_003,Baseline prompt,58,City58,950000.0,1590.0,14800000000.0
distribution_baseline_003,Baseline prompt,59,City59,1400000.0,2300.0,22000000000.0
distribution_baseline_003,Baseline prompt,60,City60,760000.0,1220.0,11000000000.0
distribution_baseline_003,Baseline prompt,61,City61,865000.0,1450.0,13000000000.0
distribution_baseline_003,Baseline prompt,62,City62,410000.0,720.0,5900000000.0
distribution_baseline_003,Baseline prompt,63,City63,1270000.0,2100.0,22000000000.0
distribution_baseline_003,Baseline prompt,64,City64,1680000.0,3050.0,26000000000.0
distribution_baseline_003,Baseline prompt,65,City65,560000.0,910.0,7000000000.0
distribution_baseline_003,Baseline prompt,66,City66,1420000.0,2500.0,23500000000.0
distribution_baseline_003,Baseline prompt,67,City67,630000.0,1040.0,8100000000.0
distribution_baseline_003,Baseline prompt,68,City68,785000.0,1200.0,10900000000.0
distribution_baseline_003,Baseline prompt,69,City69,420000.0,710.0,5700000000.0
distribution_baseline_003,Baseline prompt,70,City70,1150000.0,1950.0,18000000000.0
distribution_baseline_003,Baseline prompt,71,City71,820000.0,1300.0,12500000000.0
distribution_baseline_003,Baseline prompt,72,City72,1630000.0,3000.0,25000000000.0
distribution_baseline_003,Baseline prompt,73,City73,590000.0,890.0,7600000000.0
distribution_baseline_003,Baseline prompt,74,City74,690000.0,1100.0,9000000000.0
distribution_baseline_003,Baseline prompt,75,City75,1700000.0,2950.0,27000000000.0
distribution_baseline_003,Baseline prompt,76,City76,800000.0,1350.0,13000000000.0
distribution_baseline_003,Baseline prompt,77,City77,475000.0,770.0,6000000000.0
distribution_baseline_003,Baseline prompt,78,City78,1320000.0,2300.0,21000000000.0
distribution_baseline_003,Baseline prompt,79,City79,940000.0,1500.0,14000000000.0
distribution_baseline_003,Baseline prompt,80,City80,620000.0,960.0,8000000000.0
distribution_baseline_003,Baseline prompt,81,City81,1250000.0,2200.0,22000000000.0
distribution_baseline_003,Baseline prompt,82,City82,750000.0,1180.0,11000000000.0
distribution_baseline_003,Baseline prompt,83,City83,610000.0,930.0,7000000000.0
distribution_baseline_003,Baseline prompt,84,City84,1350000.0,2500.0,24000000000.0
distribution_baseline_003,Baseline prompt,85,City85,560000.0,890.0,7000000000.0
distribution_baseline_003,Baseline prompt,86,City86,870000.0,1400.0,13000000000.0
distribution_baseline_003,Baseline prompt,87,City87,1450000.0,2500.0,23000000000.0
distribution_baseline_003,Baseline prompt,88,City88,765000.0,1250.0,11000000000.0
distribution_baseline_003,Baseline prompt,89,City89,500000.0,850.0,6000000000.0
distribution_baseline_003,Baseline prompt,90,City90,1160000.0,2000.0,19000000000.0
distribution_baseline_003,Baseline prompt,91,City91,980000.0,1600.0,16000000000.0
distribution_baseline_003,Baseline prompt,92,City92,650000.0,1050.0,8000000000.0
distribution_baseline_003,Baseline prompt,93,City93,1450000.0,2700.0,25000000000.0
distribution_baseline_003,Baseline prompt,94,City94,805000.0,1300.0,12000000000.0
distribution_baseline_003,Baseline prompt,95,City95,475000.0,750.0,6000000000.0
distribution_baseline_003,Baseline prompt,96,City96,1340000.0,2400.0,23000000000.0
distribution_baseline_003,Baseline prompt,97,City97,835000.0,1350.0,13000000000.0
distribution_baseline_003,Baseline prompt,98,City98,630000.0,950.0,7000000000.0
distribution_baseline_003,Baseline prompt,99,City99,1210000.0,2100.0,20000000000.0
distribution_baseline_003,Baseline prompt,100,City100,765000.0,1250.0,11000000000.0
distribution_baseline_004,Baseline prompt,1,City1,847526.0,1324.0,564289000.0
distribution_baseline_004,Baseline prompt,2,City2,469812.0,874.0,347612000.0
distribution_baseline_004,Baseline prompt,3,City3,128465.0,412.0,92347000.0
distribution_baseline_004,Baseline prompt,4,City4,573429.0,1527.0,623781000.0
distribution_baseline_004,Baseline prompt,5,City5,234876.0,698.0,245612000.0
distribution_baseline_004,Baseline prompt,6,City6,892073.0,1783.0,894732000.0
distribution_baseline_004,Baseline prompt,7,City7,423015.0,735.0,312893000.0
distribution_baseline_004,Baseline prompt,8,City8,753291.0,1218.0,671254000.0
distribution_baseline_004,Baseline prompt,9,City9,349827.0,512.0,276892000.0
distribution_baseline_004,Baseline prompt,10,City10,182560.0,342.0,123452000.0
distribution_baseline_004,Baseline prompt,11,City11,650981.0,1189.0,537891000.0
distribution_baseline_004,Baseline prompt,12,City12,324896.0,456.0,184563000.0
distribution_baseline_004,Baseline prompt,13,City13,989730.0,1832.0,914578000.0
distribution_baseline_004,Baseline prompt,14,City14,245781.0,621.0,198763000.0
distribution_baseline_004,Baseline prompt,15,City15,834679.0,1425.0,712895000.0
distribution_baseline_004,Baseline prompt,16,City16,512890.0,978.0,367192000.0
distribution_baseline_004,Baseline prompt,17,City17,287914.0,489.0,235678000.0
distribution_baseline_004,Baseline prompt,18,City18,167483.0,367.0,114589000.0
distribution_baseline_004,Baseline prompt,19,City19,763018.0,1284.0,678243000.0
distribution_baseline_004,Baseline prompt,20,City20,438120.0,742.0,329814000.0
distribution_baseline_004,Baseline prompt,21,City21,291670.0,452.0,198273000.0
distribution_baseline_004,Baseline prompt,22,City22,150382.0,314.0,94569000.0
distribution_baseline_004,Baseline prompt,23,City23,702893.0,1193.0,594782000.0
distribution_baseline_004,Baseline prompt,24,City24,503219.0,865.0,367981000.0
distribution_baseline_004,Baseline prompt,25,City25,387092.0,642.0,289567000.0
distribution_baseline_004,Baseline prompt,26,City26,812356.0,1397.0,712389000.0
distribution_baseline_004,Baseline prompt,27,City27,429871.0,756.0,312754000.0
distribution_baseline_004,Baseline prompt,28,City28,298763.0,517.0,198734000.0
distribution_baseline_004,Baseline prompt,29,City29,165798.0,389.0,112567000.0
distribution_baseline_004,Baseline prompt,30,City30,724019.0,1235.0,634289000.0
distribution_baseline_004,Baseline prompt,31,City31,473219.0,789.0,347912000.0
distribution_baseline_004,Baseline prompt,32,City32,310764.0,489.0,234895000.0
distribution_baseline_004,Baseline prompt,33,City33,158932.0,325.0,98342000.0
distribution_baseline_004,Baseline prompt,34,City34,780218.0,1304.0,689572000.0
distribution_baseline_004,Baseline prompt,35,City35,459871.0,815.0,352891000.0
distribution_baseline_004,Baseline prompt,36,City36,289643.0,471.0,187234000.0
distribution_baseline_004,Baseline prompt,37,City37,142698.0,294.0,87432000.0
distribution_baseline_004,Baseline prompt,38,City38,768924.0,1258.0,678912000.0
distribution_baseline_004,Baseline prompt,39,City39,426891.0,745.0,318712000.0
distribution_baseline_004,Baseline prompt,40,City40,307219.0,512.0,204578000.0
distribution_baseline_004,Baseline prompt,41,City41,163450.0,374.0,115289000.0
distribution_baseline_004,Baseline prompt,42,City42,738290.0,1219.0,645912000.0
distribution_baseline_004,Baseline prompt,43,City43,451892.0,783.0,356891000.0
distribution_baseline_004,Baseline prompt,44,City44,286714.0,476.0,187965000.0
distribution_baseline_004,Baseline prompt,45,City45,138564.0,289.0,84291800.0
distribution_baseline_004,Baseline prompt,46,City46,794315.0,1356.0,712395000.0
distribution_baseline_004,Baseline prompt,47,City47,438912.0,721.0,327819000.0
distribution_baseline_004,Baseline prompt,48,City48,311287.0,492.0,210891000.0
distribution_baseline_004,Baseline prompt,49,City49,159487.0,341.0,97238100.0
