setting_id,spatial_group,prompt_condition,higher_dose,lower_dose,parser_valid_pair,correct_fixed
vitality_setting_006,spatial_group_002,Primary wording,high,low,1,1
vitality_setting_006,spatial_group_002,Primary wording,mid,low,1,1
vitality_setting_007,spatial_group_003,Primary wording,high,mid,1,1
vitality_setting_007,spatial_group_003,Primary wording,high,low,1,1
vitality_setting_007,spatial_group_003,Primary wording,mid,low,1,1
vitality_setting_007,spatial_group_003,Paraphrase control,high,mid,1,1
vitality_setting_007,spatial_group_003,Paraphrase control,high,low,1,1
vitality_setting_007,spatial_group_003,Paraphrase control,mid,low,1,1
vitality_setting_007,spatial_group_003,Alias/order control,high,mid,1,1
vitality_setting_007,spatial_group_003,Alias/order control,high,low,1,1
vitality_setting_007,spatial_group_003,Alias/order control,mid,low,1,1
vitality_setting_007,spatial_group_003,Exact-repeat control,high,mid,1,1
vitality_setting_007,spatial_group_003,Exact-repeat control,high,low,1,1
vitality_setting_007,spatial_group_003,Exact-repeat control,mid,low,1,1
vitality_setting_007,spatial_group_003,Irrelevant-number control,high,mid,1,1
vitality_setting_007,spatial_group_003,Irrelevant-number control,high,low,1,1
vitality_setting_007,spatial_group_003,Irrelevant-number control,mid,low,1,1
vitality_setting_008,spatial_group_003,Primary wording,high,mid,1,1
vitality_setting_008,spatial_group_003,Primary wording,high,low,1,1
vitality_setting_008,spatial_group_003,Primary wording,mid,low,1,1
vitality_setting_009,spatial_group_003,Primary wording,high,mid,1,1
vitality_setting_009,spatial_group_003,Primary wording,high,low,1,1
vitality_setting_009,spatial_group_003,Primary wording,mid,low,1,1
vitality_setting_009,spatial_group_003,Paraphrase control,high,mid,1,1
vitality_setting_009,spatial_group_003,Paraphrase control,high,low,1,1
vitality_setting_009,spatial_group_003,Paraphrase control,mid,low,1,1
vitality_setting_009,spatial_group_003,Alias/order control,high,mid,1,1
vitality_setting_009,spatial_group_003,Alias/order control,high,low,1,1
vitality_setting_009,spatial_group_003,Alias/order control,mid,low,1,1
vitality_setting_009,spatial_group_003,Exact-repeat control,high,mid,1,1
vitality_setting_009,spatial_group_003,Exact-repeat control,high,low,1,1
vitality_setting_009,spatial_group_003,Exact-repeat control,mid,low,1,1
vitality_setting_009,spatial_group_003,Irrelevant-number control,high,mid,1,1
vitality_setting_009,spatial_group_003,Irrelevant-number control,high,low,1,1
vitality_setting_009,spatial_group_003,Irrelevant-number control,mid,low,1,1
vitality_setting_010,spatial_group_003,Primary wording,high,mid,1,1
vitality_setting_010,spatial_group_003,Primary wording,high,low,1,1
vitality_setting_010,spatial_group_003,Primary wording,mid,low,1,1
vitality_setting_011,spatial_group_003,Primary wording,high,mid,1,1
vitality_setting_011,spatial_group_003,Primary wording,high,low,1,1
vitality_setting_011,spatial_group_003,Primary wording,mid,low,1,1
vitality_setting_011,spatial_group_003,Paraphrase control,high,mid,1,1
vitality_setting_011,spatial_group_003,Paraphrase control,high,low,1,1
vitality_setting_011,spatial_group_003,Paraphrase control,mid,low,1,1
vitality_setting_011,spatial_group_003,Alias/order control,high,mid,1,1
vitality_setting_011,spatial_group_003,Alias/order control,high,low,1,1
vitality_setting_011,spatial_group_003,Alias/order control,mid,low,1,1
vitality_setting_011,spatial_group_003,Exact-repeat control,high,mid,1,1
vitality_setting_011,spatial_group_003,Exact-repeat control,high,low,1,1
vitality_setting_011,spatial_group_003,Exact-repeat control,mid,low,1,1
vitality_setting_011,spatial_group_003,Irrelevant-number control,high,mid,1,1
vitality_setting_011,spatial_group_003,Irrelevant-number control,high,low,1,1
vitality_setting_011,spatial_group_003,Irrelevant-number control,mid,low,1,1
vitality_setting_012,spatial_group_004,Primary wording,high,mid,1,1
vitality_setting_012,spatial_group_004,Primary wording,high,low,1,1
vitality_setting_012,spatial_group_004,Primary wording,mid,low,1,1
vitality_setting_013,spatial_group_004,Primary wording,high,mid,1,1
vitality_setting_013,spatial_group_004,Primary wording,high,low,1,1
vitality_setting_013,spatial_group_004,Primary wording,mid,low,1,1
vitality_setting_013,spatial_group_004,Paraphrase control,high,mid,1,1
vitality_setting_013,spatial_group_004,Paraphrase control,high,low,1,1
vitality_setting_013,spatial_group_004,Paraphrase control,mid,low,1,1
vitality_setting_013,spatial_group_004,Alias/order control,high,mid,1,1
vitality_setting_013,spatial_group_004,Alias/order control,high,low,1,1
vitality_setting_013,spatial_group_004,Alias/order control,mid,low,1,1
vitality_setting_013,spatial_group_004,Exact-repeat control,high,mid,1,1
vitality_setting_013,spatial_group_004,Exact-repeat control,high,low,1,1
vitality_setting_013,spatial_group_004,Exact-repeat control,mid,low,1,1
vitality_setting_013,spatial_group_004,Irrelevant-number control,high,mid,1,1
vitality_setting_013,spatial_group_004,Irrelevant-number control,high,low,1,1
vitality_setting_013,spatial_group_004,Irrelevant-number control,mid,low,1,1
vitality_setting_014,spatial_group_004,Primary wording,high,mid,1,1
vitality_setting_014,spatial_group_004,Primary wording,high,low,1,1
vitality_setting_014,spatial_group_004,Primary wording,mid,low,1,1
vitality_setting_015,spatial_group_004,Primary wording,high,mid,1,1
vitality_setting_015,spatial_group_004,Primary wording,high,low,1,1
vitality_setting_015,spatial_group_004,Primary wording,mid,low,1,1
vitality_setting_015,spatial_group_004,Paraphrase control,high,mid,1,1
vitality_setting_015,spatial_group_004,Paraphrase control,high,low,1,1
vitality_setting_015,spatial_group_004,Paraphrase control,mid,low,1,1
vitality_setting_015,spatial_group_004,Alias/order control,high,mid,1,1
vitality_setting_015,spatial_group_004,Alias/order control,high,low,1,1
vitality_setting_015,spatial_group_004,Alias/order control,mid,low,1,1
vitality_setting_015,spatial_group_004,Exact-repeat control,high,mid,1,1
vitality_setting_015,spatial_group_004,Exact-repeat control,high,low,1,1
vitality_setting_015,spatial_group_004,Exact-repeat control,mid,low,1,1
vitality_setting_015,spatial_group_004,Irrelevant-number control,high,mid,1,1
vitality_setting_015,spatial_group_004,Irrelevant-number control,high,low,1,1
vitality_setting_015,spatial_group_004,Irrelevant-number control,mid,low,1,1
vitality_setting_016,spatial_group_004,Primary wording,high,mid,1,1
vitality_setting_016,spatial_group_004,Primary wording,high,low,1,1
vitality_setting_016,spatial_group_004,Primary wording,mid,low,1,1
vitality_setting_017,spatial_group_005,Primary wording,high,mid,1,1
vitality_setting_017,spatial_group_005,Primary wording,high,low,1,1
vitality_setting_017,spatial_group_005,Primary wording,mid,low,1,1
vitality_setting_017,spatial_group_005,Paraphrase control,high,mid,1,1
vitality_setting_017,spatial_group_005,Paraphrase control,high,low,1,1
vitality_setting_017,spatial_group_005,Paraphrase control,mid,low,1,1
vitality_setting_017,spatial_group_005,Alias/order control,high,mid,1,1
vitality_setting_017,spatial_group_005,Alias/order control,high,low,1,1
vitality_setting_017,spatial_group_005,Alias/order control,mid,low,1,1
vitality_setting_017,spatial_group_005,Exact-repeat control,high,mid,1,1
vitality_setting_017,spatial_group_005,Exact-repeat control,high,low,1,1
vitality_setting_017,spatial_group_005,Exact-repeat control,mid,low,1,1
vitality_setting_017,spatial_group_005,Irrelevant-number control,high,mid,1,1
vitality_setting_017,spatial_group_005,Irrelevant-number control,high,low,1,1
vitality_setting_017,spatial_group_005,Irrelevant-number control,mid,low,1,1
vitality_setting_018,spatial_group_005,Primary wording,high,mid,1,1
vitality_setting_018,spatial_group_005,Primary wording,high,low,1,1
vitality_setting_018,spatial_group_005,Primary wording,mid,low,1,1
vitality_setting_019,spatial_group_005,Primary wording,high,mid,1,1
vitality_setting_019,spatial_group_005,Primary wording,high,low,1,1
vitality_setting_019,spatial_group_005,Primary wording,mid,low,1,1
vitality_setting_019,spatial_group_005,Paraphrase control,high,mid,1,1
vitality_setting_019,spatial_group_005,Paraphrase control,high,low,1,1
vitality_setting_019,spatial_group_005,Paraphrase control,mid,low,1,1
vitality_setting_019,spatial_group_005,Alias/order control,high,mid,1,1
vitality_setting_019,spatial_group_005,Alias/order control,high,low,1,1
vitality_setting_019,spatial_group_005,Alias/order control,mid,low,1,1
vitality_setting_019,spatial_group_005,Exact-repeat control,high,mid,1,1
vitality_setting_019,spatial_group_005,Exact-repeat control,high,low,1,1
vitality_setting_019,spatial_group_005,Exact-repeat control,mid,low,1,1
vitality_setting_019,spatial_group_005,Irrelevant-number control,high,mid,1,1
vitality_setting_019,spatial_group_005,Irrelevant-number control,high,low,1,1
vitality_setting_019,spatial_group_005,Irrelevant-number control,mid,low,1,1
vitality_setting_020,spatial_group_005,Primary wording,high,mid,1,1
vitality_setting_020,spatial_group_005,Primary wording,high,low,1,1
vitality_setting_020,spatial_group_005,Primary wording,mid,low,1,1
vitality_setting_020,spatial_group_005,Paraphrase control,high,mid,1,1
vitality_setting_020,spatial_group_005,Paraphrase control,high,low,1,1
vitality_setting_020,spatial_group_005,Paraphrase control,mid,low,1,1
vitality_setting_020,spatial_group_005,Alias/order control,high,mid,1,1
vitality_setting_020,spatial_group_005,Alias/order control,high,low,1,1
vitality_setting_020,spatial_group_005,Alias/order control,mid,low,1,1
vitality_setting_020,spatial_group_005,Exact-repeat control,high,mid,1,1
vitality_setting_020,spatial_group_005,Exact-repeat control,high,low,1,1
vitality_setting_020,spatial_group_005,Exact-repeat control,mid,low,1,1
vitality_setting_020,spatial_group_005,Irrelevant-number control,high,mid,1,1
vitality_setting_020,spatial_group_005,Irrelevant-number control,high,low,1,1
vitality_setting_020,spatial_group_005,Irrelevant-number control,mid,low,1,1
vitality_setting_021,spatial_group_005,Primary wording,high,mid,1,1
vitality_setting_021,spatial_group_005,Primary wording,high,low,1,1
vitality_setting_021,spatial_group_005,Primary wording,mid,low,1,1
vitality_setting_022,spatial_group_006,Primary wording,high,mid,1,1
vitality_setting_022,spatial_group_006,Primary wording,high,low,1,1
vitality_setting_022,spatial_group_006,Primary wording,mid,low,1,1
vitality_setting_022,spatial_group_006,Paraphrase control,high,mid,1,1
vitality_setting_022,spatial_group_006,Paraphrase control,high,low,1,1
vitality_setting_022,spatial_group_006,Paraphrase control,mid,low,1,1
vitality_setting_022,spatial_group_006,Alias/order control,high,mid,1,1
vitality_setting_022,spatial_group_006,Alias/order control,high,low,1,1
vitality_setting_022,spatial_group_006,Alias/order control,mid,low,1,1
vitality_setting_022,spatial_group_006,Exact-repeat control,high,mid,1,1
vitality_setting_022,spatial_group_006,Exact-repeat control,high,low,1,1
vitality_setting_022,spatial_group_006,Exact-repeat control,mid,low,1,1
vitality_setting_022,spatial_group_006,Irrelevant-number control,high,mid,1,1
vitality_setting_022,spatial_group_006,Irrelevant-number control,high,low,1,1
vitality_setting_022,spatial_group_006,Irrelevant-number control,mid,low,1,1
vitality_setting_023,spatial_group_006,Primary wording,high,mid,1,1
vitality_setting_023,spatial_group_006,Primary wording,high,low,1,1
vitality_setting_023,spatial_group_006,Primary wording,mid,low,1,1
vitality_setting_024,spatial_group_006,Primary wording,high,mid,1,1
vitality_setting_024,spatial_group_006,Primary wording,high,low,1,1
vitality_setting_024,spatial_group_006,Primary wording,mid,low,1,1
vitality_setting_024,spatial_group_006,Paraphrase control,high,mid,1,1
vitality_setting_024,spatial_group_006,Paraphrase control,high,low,1,1
vitality_setting_024,spatial_group_006,Paraphrase control,mid,low,1,1
vitality_setting_024,spatial_group_006,Alias/order control,high,mid,1,1
vitality_setting_024,spatial_group_006,Alias/order control,high,low,1,1
vitality_setting_024,spatial_group_006,Alias/order control,mid,low,1,1
vitality_setting_024,spatial_group_006,Exact-repeat control,high,mid,1,1
vitality_setting_024,spatial_group_006,Exact-repeat control,high,low,1,1
vitality_setting_024,spatial_group_006,Exact-repeat control,mid,low,1,1
vitality_setting_024,spatial_group_006,Irrelevant-number control,high,mid,1,1
vitality_setting_024,spatial_group_006,Irrelevant-number control,high,low,1,1
vitality_setting_024,spatial_group_006,Irrelevant-number control,mid,low,1,1
vitality_setting_025,spatial_group_006,Primary wording,high,mid,1,1
vitality_setting_025,spatial_group_006,Primary wording,high,low,1,1
vitality_setting_025,spatial_group_006,Primary wording,mid,low,1,1
vitality_setting_026,spatial_group_006,Primary wording,high,mid,1,1
vitality_setting_026,spatial_group_006,Primary wording,high,low,1,1
vitality_setting_026,spatial_group_006,Primary wording,mid,low,1,1
vitality_setting_026,spatial_group_006,Paraphrase control,high,mid,1,1
vitality_setting_026,spatial_group_006,Paraphrase control,high,low,1,1
vitality_setting_026,spatial_group_006,Paraphrase control,mid,low,1,1
vitality_setting_026,spatial_group_006,Alias/order control,high,mid,1,1
vitality_setting_026,spatial_group_006,Alias/order control,high,low,1,1
vitality_setting_026,spatial_group_006,Alias/order control,mid,low,1,1
vitality_setting_026,spatial_group_006,Exact-repeat control,high,mid,1,1
vitality_setting_026,spatial_group_006,Exact-repeat control,high,low,1,1
vitality_setting_026,spatial_group_006,Exact-repeat control,mid,low,1,1
vitality_setting_026,spatial_group_006,Irrelevant-number control,high,mid,1,1
vitality_setting_026,spatial_group_006,Irrelevant-number control,high,low,1,1
vitality_setting_026,spatial_group_006,Irrelevant-number control,mid,low,1,1
vitality_setting_027,spatial_group_006,Primary wording,high,mid,1,1
vitality_setting_027,spatial_group_006,Primary wording,high,low,1,1
vitality_setting_027,spatial_group_006,Primary wording,mid,low,1,1
vitality_setting_028,spatial_group_007,Primary wording,high,mid,1,1
vitality_setting_028,spatial_group_007,Primary wording,high,low,1,1
vitality_setting_028,spatial_group_007,Primary wording,mid,low,1,0
vitality_setting_028,spatial_group_007,Paraphrase control,high,mid,1,1
vitality_setting_028,spatial_group_007,Paraphrase control,high,low,1,1
vitality_setting_028,spatial_group_007,Paraphrase control,mid,low,1,1
vitality_setting_028,spatial_group_007,Alias/order control,high,mid,1,1
vitality_setting_028,spatial_group_007,Alias/order control,high,low,1,1
vitality_setting_028,spatial_group_007,Alias/order control,mid,low,1,1
vitality_setting_028,spatial_group_007,Exact-repeat control,high,mid,1,1
vitality_setting_028,spatial_group_007,Exact-repeat control,high,low,1,1
vitality_setting_028,spatial_group_007,Exact-repeat control,mid,low,1,0
vitality_setting_028,spatial_group_007,Irrelevant-number control,high,mid,1,1
vitality_setting_028,spatial_group_007,Irrelevant-number control,high,low,1,1
vitality_setting_028,spatial_group_007,Irrelevant-number control,mid,low,1,0
vitality_setting_029,spatial_group_007,Primary wording,high,mid,1,1
vitality_setting_029,spatial_group_007,Primary wording,high,low,1,1
vitality_setting_029,spatial_group_007,Primary wording,mid,low,1,1
vitality_setting_030,spatial_group_007,Primary wording,high,mid,1,1
vitality_setting_030,spatial_group_007,Primary wording,high,low,1,1
vitality_setting_030,spatial_group_007,Primary wording,mid,low,1,1
vitality_setting_030,spatial_group_007,Paraphrase control,high,mid,1,1
vitality_setting_030,spatial_group_007,Paraphrase control,high,low,1,1
vitality_setting_030,spatial_group_007,Paraphrase control,mid,low,1,1
vitality_setting_030,spatial_group_007,Alias/order control,high,mid,1,1
vitality_setting_030,spatial_group_007,Alias/order control,high,low,1,1
vitality_setting_030,spatial_group_007,Alias/order control,mid,low,1,1
vitality_setting_030,spatial_group_007,Exact-repeat control,high,mid,1,1
vitality_setting_030,spatial_group_007,Exact-repeat control,high,low,1,1
vitality_setting_030,spatial_group_007,Exact-repeat control,mid,low,1,1
vitality_setting_030,spatial_group_007,Irrelevant-number control,high,mid,1,1
vitality_setting_030,spatial_group_007,Irrelevant-number control,high,low,1,1
vitality_setting_030,spatial_group_007,Irrelevant-number control,mid,low,1,1
vitality_setting_031,spatial_group_007,Primary wording,high,mid,1,1
vitality_setting_031,spatial_group_007,Primary wording,high,low,1,1
vitality_setting_031,spatial_group_007,Primary wording,mid,low,1,1
vitality_setting_032,spatial_group_007,Primary wording,high,mid,1,1
vitality_setting_032,spatial_group_007,Primary wording,high,low,1,1
vitality_setting_032,spatial_group_007,Primary wording,mid,low,1,1
vitality_setting_032,spatial_group_007,Paraphrase control,high,mid,0,0
vitality_setting_032,spatial_group_007,Paraphrase control,high,low,0,0
vitality_setting_032,spatial_group_007,Paraphrase control,mid,low,0,0
vitality_setting_032,spatial_group_007,Alias/order control,high,mid,0,0
vitality_setting_032,spatial_group_007,Alias/order control,high,low,0,0
vitality_setting_032,spatial_group_007,Alias/order control,mid,low,0,0
vitality_setting_032,spatial_group_007,Exact-repeat control,high,mid,0,0
vitality_setting_032,spatial_group_007,Exact-repeat control,high,low,0,0
vitality_setting_032,spatial_group_007,Exact-repeat control,mid,low,0,0
vitality_setting_032,spatial_group_007,Irrelevant-number control,high,mid,0,0
vitality_setting_032,spatial_group_007,Irrelevant-number control,high,low,0,0
vitality_setting_032,spatial_group_007,Irrelevant-number control,mid,low,0,0
vitality_setting_033,spatial_group_007,Primary wording,high,mid,0,0
vitality_setting_033,spatial_group_007,Primary wording,high,low,0,0
vitality_setting_033,spatial_group_007,Primary wording,mid,low,0,0
vitality_setting_034,spatial_group_008,Primary wording,high,mid,0,0
vitality_setting_034,spatial_group_008,Primary wording,high,low,0,0
vitality_setting_034,spatial_group_008,Primary wording,mid,low,0,0
vitality_setting_034,spatial_group_008,Paraphrase control,high,mid,0,0
vitality_setting_034,spatial_group_008,Paraphrase control,high,low,0,0
vitality_setting_034,spatial_group_008,Paraphrase control,mid,low,0,0
vitality_setting_034,spatial_group_008,Alias/order control,high,mid,0,0
vitality_setting_034,spatial_group_008,Alias/order control,high,low,0,0
vitality_setting_034,spatial_group_008,Alias/order control,mid,low,0,0
vitality_setting_034,spatial_group_008,Exact-repeat control,high,mid,0,0
vitality_setting_034,spatial_group_008,Exact-repeat control,high,low,0,0
vitality_setting_034,spatial_group_008,Exact-repeat control,mid,low,0,0
vitality_setting_034,spatial_group_008,Irrelevant-number control,high,mid,0,0
vitality_setting_034,spatial_group_008,Irrelevant-number control,high,low,0,0
vitality_setting_034,spatial_group_008,Irrelevant-number control,mid,low,0,0
vitality_setting_035,spatial_group_008,Primary wording,high,mid,0,0
vitality_setting_035,spatial_group_008,Primary wording,high,low,0,0
vitality_setting_035,spatial_group_008,Primary wording,mid,low,0,0
vitality_setting_036,spatial_group_008,Primary wording,high,mid,0,0
vitality_setting_036,spatial_group_008,Primary wording,high,low,0,0
vitality_setting_036,spatial_group_008,Primary wording,mid,low,0,0
vitality_setting_036,spatial_group_008,Paraphrase control,high,mid,0,0
vitality_setting_036,spatial_group_008,Paraphrase control,high,low,0,0
vitality_setting_036,spatial_group_008,Paraphrase control,mid,low,0,0
vitality_setting_036,spatial_group_008,Alias/order control,high,mid,0,0
vitality_setting_036,spatial_group_008,Alias/order control,high,low,0,0
vitality_setting_036,spatial_group_008,Alias/order control,mid,low,0,0
vitality_setting_036,spatial_group_008,Exact-repeat control,high,mid,0,0
vitality_setting_036,spatial_group_008,Exact-repeat control,high,low,0,0
vitality_setting_036,spatial_group_008,Exact-repeat control,mid,low,0,0
vitality_setting_036,spatial_group_008,Irrelevant-number control,high,mid,0,0
vitality_setting_036,spatial_group_008,Irrelevant-number control,high,low,0,0
vitality_setting_036,spatial_group_008,Irrelevant-number control,mid,low,0,0
vitality_setting_037,spatial_group_008,Primary wording,high,mid,0,0
vitality_setting_037,spatial_group_008,Primary wording,high,low,0,0
vitality_setting_037,spatial_group_008,Primary wording,mid,low,0,0
vitality_setting_038,spatial_group_008,Primary wording,high,mid,0,0
vitality_setting_038,spatial_group_008,Primary wording,high,low,0,0
vitality_setting_038,spatial_group_008,Primary wording,mid,low,0,0
vitality_setting_038,spatial_group_008,Paraphrase control,high,mid,0,0
vitality_setting_038,spatial_group_008,Paraphrase control,high,low,0,0
vitality_setting_038,spatial_group_008,Paraphrase control,mid,low,0,0
vitality_setting_038,spatial_group_008,Alias/order control,high,mid,0,0
vitality_setting_038,spatial_group_008,Alias/order control,high,low,0,0
vitality_setting_038,spatial_group_008,Alias/order control,mid,low,0,0
vitality_setting_038,spatial_group_008,Exact-repeat control,high,mid,0,0
vitality_setting_038,spatial_group_008,Exact-repeat control,high,low,0,0
vitality_setting_038,spatial_group_008,Exact-repeat control,mid,low,0,0
vitality_setting_038,spatial_group_008,Irrelevant-number control,high,mid,0,0
vitality_setting_038,spatial_group_008,Irrelevant-number control,high,low,0,0
vitality_setting_038,spatial_group_008,Irrelevant-number control,mid,low,0,0
