setting_id,prompt_condition,population_people,irrelevant_number,request_status,gdp_million_currency_units,road_length_km
scaling_setting_004,Irrelevant-number control,200000,400000.0,valid,3200.0,560.0
scaling_setting_005,Primary wording,200000,,valid,6200.0,850.0
scaling_setting_005,Primary wording,100000,,valid,7250.0,850.0
scaling_setting_005,Primary wording,800000,,valid,48000.0,3200.0
scaling_setting_005,Primary wording,50000,,valid,2250.0,480.0
scaling_setting_005,Primary wording,400000,,valid,28000.0,1600.0
scaling_setting_005,Paraphrased wording,100000,,valid,4500.0,650.0
scaling_setting_005,Paraphrased wording,50000,,valid,3200.0,550.0
scaling_setting_005,Paraphrased wording,800000,,valid,32000.0,1900.0
scaling_setting_005,Paraphrased wording,200000,,valid,5400.0,1450.0
scaling_setting_005,Paraphrased wording,400000,,valid,15600.0,2200.0
scaling_setting_005,Concise wording,400000,,valid,16000.0,2800.0
scaling_setting_005,Concise wording,50000,,valid,2900.0,480.0
scaling_setting_005,Concise wording,200000,,valid,8600.0,1250.0
scaling_setting_005,Concise wording,100000,,valid,3700.0,850.0
scaling_setting_005,Concise wording,800000,,valid,32000.0,2800.0
scaling_setting_005,No-change control,200000,,valid,8500.0,1200.0
scaling_setting_005,Irrelevant-number control,200000,50000.0,valid,7200.0,1500.0
scaling_setting_005,Irrelevant-number control,200000,800000.0,valid,9800.0,1200.0
scaling_setting_005,Irrelevant-number control,200000,200000.0,valid,12500.0,1350.0
scaling_setting_005,Irrelevant-number control,200000,400000.0,valid,7400.0,520.0
scaling_setting_005,Irrelevant-number control,200000,100000.0,valid,8400.0,1200.0
scaling_setting_006,Primary wording,400000,,valid,19800.0,1475.0
scaling_setting_006,Primary wording,200000,,valid,4500.0,1200.0
scaling_setting_006,Primary wording,800000,,valid,24000.0,4500.0
scaling_setting_006,Primary wording,50000,,valid,1200.0,420.0
scaling_setting_006,Primary wording,100000,,valid,2700.0,840.0
scaling_setting_006,Paraphrased wording,400000,,valid,12500.0,1120.0
scaling_setting_006,Paraphrased wording,50000,,valid,850.0,310.0
scaling_setting_006,Paraphrased wording,800000,,valid,32000.0,2800.0
scaling_setting_006,Paraphrased wording,100000,,valid,3200.0,540.0
scaling_setting_006,Paraphrased wording,200000,,valid,7600.0,950.0
scaling_setting_006,Concise wording,100000,,valid,2750.0,750.0
scaling_setting_006,Concise wording,400000,,valid,14000.0,2500.0
scaling_setting_006,Concise wording,800000,,valid,24000.0,3200.0
scaling_setting_006,Concise wording,200000,,valid,5800.0,1120.0
scaling_setting_006,Concise wording,50000,,valid,1250.0,320.0
scaling_setting_006,No-change control,200000,,valid,4600.0,750.0
scaling_setting_006,Irrelevant-number control,200000,50000.0,valid,8500.0,1200.0
scaling_setting_006,Irrelevant-number control,200000,200000.0,valid,6200.0,840.0
scaling_setting_006,Irrelevant-number control,200000,800000.0,valid,7200.0,950.0
scaling_setting_006,Irrelevant-number control,200000,100000.0,valid,8400.0,1200.0
scaling_setting_006,Irrelevant-number control,200000,400000.0,valid,8400.0,950.0
scaling_setting_007,Primary wording,800000,,valid,28600.0,3100.0
scaling_setting_007,Primary wording,400000,,valid,16200.0,3200.0
scaling_setting_007,Primary wording,200000,,valid,9500.0,1800.0
scaling_setting_007,Primary wording,50000,,valid,1500.0,320.0
scaling_setting_007,Primary wording,100000,,valid,4800.0,720.0
scaling_setting_007,Paraphrased wording,50000,,valid,2600.0,480.0
scaling_setting_007,Paraphrased wording,400000,,valid,12000.0,1700.0
scaling_setting_007,Paraphrased wording,200000,,valid,7200.0,850.0
scaling_setting_007,Paraphrased wording,800000,,valid,16000.0,2750.0
scaling_setting_007,Paraphrased wording,100000,,valid,5500.0,520.0
scaling_setting_007,Concise wording,400000,,valid,14400.0,2850.0
scaling_setting_007,Concise wording,50000,,valid,1500.0,320.0
scaling_setting_007,Concise wording,200000,,valid,8000.0,950.0
scaling_setting_007,Concise wording,800000,,valid,28000.0,3500.0
scaling_setting_007,Concise wording,100000,,valid,4500.0,720.0
scaling_setting_007,No-change control,200000,,valid,8700.0,1250.0
scaling_setting_007,Irrelevant-number control,200000,800000.0,valid,12500.0,650.0
scaling_setting_007,Irrelevant-number control,200000,50000.0,valid,8500.0,1300.0
scaling_setting_007,Irrelevant-number control,200000,100000.0,valid,8500.0,1200.0
scaling_setting_007,Irrelevant-number control,200000,400000.0,valid,12500.0,850.0
scaling_setting_007,Irrelevant-number control,200000,200000.0,valid,9500.0,1200.0
scaling_setting_008,Primary wording,800000,,valid,12000.0,980.0
scaling_setting_008,Primary wording,400000,,valid,8200.0,270.0
scaling_setting_008,Primary wording,200000,,valid,7300.0,480.0
scaling_setting_008,Primary wording,100000,,valid,3200.0,415.0
scaling_setting_008,Primary wording,50000,,valid,1250.0,145.0
scaling_setting_008,Paraphrased wording,50000,,valid,1125.0,145.0
scaling_setting_008,Paraphrased wording,100000,,valid,2500.0,320.0
scaling_setting_008,Paraphrased wording,400000,,valid,16000.0,620.0
scaling_setting_008,Paraphrased wording,200000,,valid,9600.0,340.0
scaling_setting_008,Paraphrased wording,800000,,valid,32000.0,1200.0
scaling_setting_008,Concise wording,800000,,valid,32000.0,560.0
scaling_setting_008,Concise wording,100000,,valid,2000.0,150.0
scaling_setting_008,Concise wording,50000,,valid,1750.0,85.0
scaling_setting_008,Concise wording,200000,,valid,8500.0,420.0
scaling_setting_008,Concise wording,400000,,valid,12500.0,420.0
scaling_setting_008,No-change control,200000,,valid,4800.0,310.0
scaling_setting_008,Irrelevant-number control,200000,50000.0,valid,7500.0,320.0
scaling_setting_008,Irrelevant-number control,200000,100000.0,valid,3850.0,360.0
scaling_setting_008,Irrelevant-number control,200000,800000.0,valid,7400.0,310.0
scaling_setting_008,Irrelevant-number control,200000,200000.0,valid,7500.0,320.0
scaling_setting_008,Irrelevant-number control,200000,400000.0,valid,4500.0,320.0
scaling_setting_009,Primary wording,50000,,valid,2400.0,320.0
scaling_setting_009,Primary wording,800000,,valid,16400.0,2300.0
scaling_setting_009,Primary wording,400000,,valid,15800.0,980.0
scaling_setting_009,Primary wording,100000,,valid,1750.0,450.0
scaling_setting_009,Primary wording,200000,,valid,8500.0,1200.0
scaling_setting_009,Paraphrased wording,100000,,valid,3200.0,580.0
scaling_setting_009,Paraphrased wording,50000,,valid,1850.0,575.0
scaling_setting_009,Paraphrased wording,800000,,valid,22000.0,950.0
scaling_setting_009,Paraphrased wording,200000,,valid,6500.0,940.0
scaling_setting_009,Paraphrased wording,400000,,valid,9800.0,1200.0
scaling_setting_009,Concise wording,800000,,valid,19600.0,2300.0
scaling_setting_009,Concise wording,100000,,valid,2750.0,420.0
scaling_setting_009,Concise wording,400000,,valid,15400.0,920.0
scaling_setting_009,Concise wording,200000,,valid,4800.0,560.0
scaling_setting_009,Concise wording,50000,,valid,1600.0,320.0
scaling_setting_009,No-change control,200000,,valid,6500.0,850.0
scaling_setting_009,Irrelevant-number control,200000,800000.0,valid,9750.0,620.0
scaling_setting_009,Irrelevant-number control,200000,400000.0,valid,6200.0,930.0
scaling_setting_009,Irrelevant-number control,200000,100000.0,valid,8200.0,1550.0
scaling_setting_009,Irrelevant-number control,200000,200000.0,valid,9600.0,750.0
scaling_setting_009,Irrelevant-number control,200000,50000.0,valid,8500.0,1200.0
scaling_setting_010,Primary wording,200000,,valid,8500.0,1200.0
scaling_setting_010,Primary wording,400000,,valid,8500.0,3200.0
scaling_setting_010,Primary wording,100000,,valid,2500.0,680.0
scaling_setting_010,Primary wording,50000,,valid,1250.0,310.0
scaling_setting_010,Primary wording,800000,,valid,24000.0,1800.0
scaling_setting_010,Paraphrased wording,100000,,valid,2500.0,450.0
scaling_setting_010,Paraphrased wording,200000,,valid,9250.0,760.0
scaling_setting_010,Paraphrased wording,800000,,valid,24000.0,1450.0
scaling_setting_010,Paraphrased wording,400000,,valid,7200.0,950.0
scaling_setting_010,Paraphrased wording,50000,,valid,850.0,320.0
scaling_setting_010,Concise wording,800000,,valid,24000.0,1250.0
scaling_setting_010,Concise wording,400000,,valid,15000.0,850.0
scaling_setting_010,Concise wording,100000,,valid,3500.0,480.0
scaling_setting_010,Concise wording,50000,,valid,1250.0,320.0
scaling_setting_010,Concise wording,200000,,valid,6500.0,580.0
scaling_setting_010,No-change control,200000,,valid,8000.0,630.0
scaling_setting_010,Irrelevant-number control,200000,100000.0,valid,8900.0,680.0
scaling_setting_010,Irrelevant-number control,200000,400000.0,valid,5400.0,730.0
scaling_setting_010,Irrelevant-number control,200000,800000.0,valid,5400.0,850.0
scaling_setting_010,Irrelevant-number control,200000,200000.0,valid,9500.0,1200.0
scaling_setting_010,Irrelevant-number control,200000,50000.0,valid,6200.0,1450.0
scaling_setting_011,Primary wording,400000,,valid,15600.0,2320.0
scaling_setting_011,Primary wording,100000,,valid,4800.0,1200.0
scaling_setting_011,Primary wording,800000,,valid,32000.0,2500.0
scaling_setting_011,Primary wording,50000,,valid,1780.0,620.0
scaling_setting_011,Primary wording,200000,,valid,6200.0,1450.0
scaling_setting_011,Paraphrased wording,100000,,valid,4500.0,1200.0
scaling_setting_011,Paraphrased wording,50000,,valid,1800.0,780.0
scaling_setting_011,Paraphrased wording,200000,,valid,7600.0,1450.0
scaling_setting_011,Paraphrased wording,800000,,valid,32000.0,4100.0
scaling_setting_011,Paraphrased wording,400000,,valid,18400.0,2400.0
scaling_setting_011,Concise wording,50000,,valid,1250.0,450.0
scaling_setting_011,Concise wording,800000,,valid,32000.0,2500.0
scaling_setting_011,Concise wording,200000,,valid,5100.0,2600.0
scaling_setting_011,Concise wording,100000,,valid,3500.0,1200.0
scaling_setting_011,Concise wording,400000,,valid,8600.0,3500.0
scaling_setting_011,No-change control,200000,,valid,5800.0,1400.0
scaling_setting_011,Irrelevant-number control,200000,400000.0,valid,7500.0,1200.0
scaling_setting_011,Irrelevant-number control,200000,50000.0,valid,7200.0,950.0
scaling_setting_011,Irrelevant-number control,200000,200000.0,valid,8500.0,1450.0
scaling_setting_011,Irrelevant-number control,200000,100000.0,valid,7800.0,1350.0
scaling_setting_011,Irrelevant-number control,200000,800000.0,valid,8200.0,1450.0
scaling_setting_012,Primary wording,400000,,valid,18000.0,1500.0
scaling_setting_012,Primary wording,100000,,valid,4200.0,450.0
scaling_setting_012,Primary wording,50000,,valid,1500.0,250.0
scaling_setting_012,Primary wording,800000,,valid,38400.0,3200.0
scaling_setting_012,Primary wording,200000,,valid,8700.0,950.0
scaling_setting_012,Paraphrased wording,200000,,valid,16000.0,950.0
scaling_setting_012,Paraphrased wording,50000,,valid,2200.0,320.0
scaling_setting_012,Paraphrased wording,100000,,valid,3200.0,850.0
scaling_setting_012,Paraphrased wording,400000,,valid,22850.0,1530.0
scaling_setting_012,Paraphrased wording,800000,,valid,34000.0,2100.0
scaling_setting_012,Concise wording,200000,,valid,5800.0,1250.0
scaling_setting_012,Concise wording,800000,,valid,32000.0,6800.0
scaling_setting_012,Concise wording,400000,,valid,12000.0,850.0
scaling_setting_012,Concise wording,100000,,valid,4500.0,700.0
scaling_setting_012,Concise wording,50000,,valid,1900.0,320.0
scaling_setting_012,No-change control,200000,,valid,6800.0,890.0
scaling_setting_012,Irrelevant-number control,200000,200000.0,valid,12500.0,850.0
scaling_setting_012,Irrelevant-number control,200000,400000.0,valid,8200.0,1350.0
scaling_setting_012,Irrelevant-number control,200000,800000.0,valid,8400.0,1250.0
scaling_setting_012,Irrelevant-number control,200000,100000.0,valid,12500.0,950.0
scaling_setting_012,Irrelevant-number control,200000,50000.0,valid,10500.0,825.0
scaling_setting_013,Primary wording,50000,,valid,2350.0,310.0
scaling_setting_013,Primary wording,800000,,valid,46000.0,1250.0
scaling_setting_013,Primary wording,400000,,valid,18400.0,1100.0
scaling_setting_013,Primary wording,100000,,valid,4500.0,320.0
scaling_setting_013,Primary wording,200000,,valid,8500.0,620.0
scaling_setting_013,Paraphrased wording,800000,,valid,24000.0,1200.0
scaling_setting_013,Paraphrased wording,400000,,valid,12500.0,850.0
scaling_setting_013,Paraphrased wording,100000,,valid,3200.0,450.0
scaling_setting_013,Paraphrased wording,200000,,valid,7200.0,450.0
scaling_setting_013,Paraphrased wording,50000,,valid,1750.0,320.0
scaling_setting_013,Concise wording,400000,,valid,22000.0,750.0
scaling_setting_013,Concise wording,800000,,valid,24000.0,620.0
scaling_setting_013,Concise wording,50000,,valid,1250.0,140.0
scaling_setting_013,Concise wording,100000,,valid,3500.0,450.0
scaling_setting_013,Concise wording,200000,,valid,7500.0,320.0
scaling_setting_013,No-change control,200000,,valid,5800.0,3100.0
scaling_setting_013,Irrelevant-number control,200000,50000.0,valid,8600.0,950.0
scaling_setting_013,Irrelevant-number control,200000,200000.0,valid,9400.0,850.0
scaling_setting_013,Irrelevant-number control,200000,400000.0,valid,8500.0,1200.0
scaling_setting_013,Irrelevant-number control,200000,100000.0,valid,8400.0,1250.0
scaling_setting_013,Irrelevant-number control,200000,800000.0,valid,7200.0,410.0
scaling_setting_014,Primary wording,50000,,valid,750.0,320.0
scaling_setting_014,Primary wording,800000,,valid,36800.0,1350.0
scaling_setting_014,Primary wording,400000,,valid,15600.0,1950.0
scaling_setting_014,Primary wording,200000,,valid,7800.0,1450.0
scaling_setting_014,Primary wording,100000,,valid,1250.0,420.0
scaling_setting_014,Paraphrased wording,50000,,valid,1450.0,320.0
scaling_setting_014,Paraphrased wording,100000,,valid,4200.0,750.0
scaling_setting_014,Paraphrased wording,200000,,valid,7200.0,950.0
scaling_setting_014,Paraphrased wording,800000,,valid,32400.0,1250.0
scaling_setting_014,Paraphrased wording,400000,,valid,15600.0,1970.0
scaling_setting_014,Concise wording,100000,,valid,3500.0,420.0
scaling_setting_014,Concise wording,200000,,valid,7400.0,950.0
scaling_setting_014,Concise wording,800000,,valid,24000.0,2400.0
scaling_setting_014,Concise wording,400000,,valid,9200.0,1450.0
scaling_setting_014,Concise wording,50000,,valid,1250.0,310.0
scaling_setting_014,No-change control,200000,,valid,5400.0,1600.0
scaling_setting_014,Irrelevant-number control,200000,100000.0,valid,13500.0,950.0
scaling_setting_014,Irrelevant-number control,200000,800000.0,valid,12500.0,950.0
scaling_setting_014,Irrelevant-number control,200000,200000.0,valid,8400.0,750.0
scaling_setting_014,Irrelevant-number control,200000,400000.0,valid,5200.0,890.0
scaling_setting_014,Irrelevant-number control,200000,50000.0,valid,8400.0,1100.0
scaling_setting_015,Primary wording,200000,,valid,8500.0,1200.0
scaling_setting_015,Primary wording,100000,,valid,3450.0,980.0
scaling_setting_015,Primary wording,800000,,valid,32000.0,1450.0
scaling_setting_015,Primary wording,400000,,valid,9800.0,1400.0
scaling_setting_015,Primary wording,50000,,valid,1300.0,450.0
scaling_setting_015,Paraphrased wording,200000,,valid,5400.0,1300.0
scaling_setting_015,Paraphrased wording,50000,,valid,1200.0,320.0
scaling_setting_015,Paraphrased wording,100000,,valid,4500.0,520.0
scaling_setting_015,Paraphrased wording,400000,,valid,12800.0,1450.0
scaling_setting_015,Paraphrased wording,800000,,valid,36800.0,9800.0
scaling_setting_015,Concise wording,200000,,valid,4500.0,750.0
scaling_setting_015,Concise wording,400000,,valid,9600.0,1600.0
scaling_setting_015,Concise wording,800000,,valid,32000.0,1400.0
scaling_setting_015,Concise wording,100000,,valid,2500.0,625.0
scaling_setting_015,Concise wording,50000,,valid,750.0,325.0
scaling_setting_015,No-change control,200000,,valid,8400.0,1250.0
scaling_setting_015,Irrelevant-number control,200000,200000.0,valid,8400.0,1200.0
scaling_setting_015,Irrelevant-number control,200000,400000.0,valid,8600.0,920.0
scaling_setting_015,Irrelevant-number control,200000,100000.0,valid,9600.0,850.0
scaling_setting_015,Irrelevant-number control,200000,800000.0,valid,8800.0,1350.0
scaling_setting_015,Irrelevant-number control,200000,50000.0,valid,12500.0,420.0
scaling_setting_016,Primary wording,50000,,valid,1500.0,320.0
scaling_setting_016,Primary wording,400000,,valid,14800.0,1250.0
scaling_setting_016,Primary wording,200000,,valid,9400.0,480.0
scaling_setting_016,Primary wording,800000,,valid,32000.0,1450.0
scaling_setting_016,Primary wording,100000,,valid,3500.0,750.0
scaling_setting_016,Paraphrased wording,100000,,valid,3200.0,450.0
scaling_setting_016,Paraphrased wording,400000,,valid,8700.0,1250.0
scaling_setting_016,Paraphrased wording,50000,,valid,1250.0,320.0
scaling_setting_016,Paraphrased wording,200000,,valid,8700.0,950.0
scaling_setting_016,Paraphrased wording,800000,,valid,32000.0,950.0
scaling_setting_016,Concise wording,200000,,valid,4800.0,320.0
scaling_setting_016,Concise wording,100000,,valid,2500.0,250.0
scaling_setting_016,Concise wording,50000,,valid,850.0,125.0
scaling_setting_016,Concise wording,800000,,valid,32000.0,1750.0
scaling_setting_016,Concise wording,400000,,valid,12000.0,750.0
scaling_setting_016,No-change control,200000,,valid,7500.0,950.0
scaling_setting_016,Irrelevant-number control,200000,200000.0,valid,4700.0,3200.0
scaling_setting_016,Irrelevant-number control,200000,100000.0,valid,6500.0,920.0
scaling_setting_016,Irrelevant-number control,200000,50000.0,valid,5200.0,1300.0
scaling_setting_016,Irrelevant-number control,200000,800000.0,valid,9600.0,1240.0
scaling_setting_016,Irrelevant-number control,200000,400000.0,valid,5500.0,1200.0
scaling_setting_017,Primary wording,800000,,valid,32000.0,1850.0
scaling_setting_017,Primary wording,50000,,valid,1750.0,320.0
scaling_setting_017,Primary wording,100000,,valid,3250.0,685.0
scaling_setting_017,Primary wording,200000,,valid,8400.0,1250.0
scaling_setting_017,Primary wording,400000,,valid,16200.0,1250.0
scaling_setting_017,Paraphrased wording,400000,,valid,12500.0,950.0
scaling_setting_017,Paraphrased wording,50000,,valid,1250.0,310.0
scaling_setting_017,Paraphrased wording,800000,,valid,19200.0,3500.0
scaling_setting_017,Paraphrased wording,100000,,valid,4500.0,320.0
scaling_setting_017,Paraphrased wording,200000,,valid,8600.0,950.0
scaling_setting_017,Concise wording,200000,,valid,5600.0,850.0
scaling_setting_017,Concise wording,100000,,valid,4500.0,750.0
scaling_setting_017,Concise wording,800000,,valid,24000.0,2200.0
scaling_setting_017,Concise wording,50000,,valid,1250.0,320.0
scaling_setting_017,Concise wording,400000,,valid,16000.0,1200.0
scaling_setting_017,No-change control,200000,,valid,4800.0,950.0
scaling_setting_017,Irrelevant-number control,200000,400000.0,valid,7800.0,1200.0
scaling_setting_017,Irrelevant-number control,200000,50000.0,valid,8500.0,1200.0
scaling_setting_017,Irrelevant-number control,200000,100000.0,valid,8400.0,1100.0
scaling_setting_017,Irrelevant-number control,200000,800000.0,valid,7200.0,1250.0
scaling_setting_017,Irrelevant-number control,200000,200000.0,valid,4800.0,950.0
scaling_setting_018,Primary wording,400000,,valid,9600.0,2750.0
scaling_setting_018,Primary wording,200000,,valid,5800.0,1320.0
scaling_setting_018,Primary wording,100000,,valid,2500.0,850.0
scaling_setting_018,Primary wording,800000,,valid,24300.0,1600.0
scaling_setting_018,Primary wording,50000,,valid,1250.0,310.0
scaling_setting_018,Paraphrased wording,100000,,valid,2800.0,450.0
scaling_setting_018,Paraphrased wording,400000,,valid,14500.0,2150.0
scaling_setting_018,Paraphrased wording,50000,,valid,1250.0,430.0
scaling_setting_018,Paraphrased wording,800000,,valid,24000.0,3200.0
scaling_setting_018,Paraphrased wording,200000,,valid,4850.0,945.0
scaling_setting_018,Concise wording,400000,,valid,9200.0,1520.0
scaling_setting_018,Concise wording,100000,,valid,3000.0,1200.0
scaling_setting_018,Concise wording,50000,,valid,750.0,625.0
scaling_setting_018,Concise wording,200000,,valid,3800.0,1250.0
scaling_setting_018,Concise wording,800000,,valid,32000.0,2500.0
scaling_setting_018,No-change control,200000,,valid,9200.0,1600.0
scaling_setting_018,Irrelevant-number control,200000,50000.0,valid,7500.0,1200.0
scaling_setting_018,Irrelevant-number control,200000,200000.0,valid,4200.0,850.0
scaling_setting_018,Irrelevant-number control,200000,800000.0,valid,8400.0,1180.0
scaling_setting_018,Irrelevant-number control,200000,400000.0,valid,9200.0,1450.0
scaling_setting_018,Irrelevant-number control,200000,100000.0,valid,8500.0,1500.0
scaling_setting_019,Primary wording,50000,,valid,2500.0,420.0
scaling_setting_019,Primary wording,100000,,valid,4000.0,750.0
scaling_setting_019,Primary wording,400000,,valid,19800.0,1875.0
scaling_setting_019,Primary wording,200000,,valid,9500.0,1240.0
scaling_setting_019,Primary wording,800000,,valid,32000.0,2800.0
scaling_setting_019,Paraphrased wording,100000,,valid,4600.0,720.0
scaling_setting_019,Paraphrased wording,400000,,valid,12500.0,850.0
scaling_setting_019,Paraphrased wording,800000,,valid,32000.0,2400.0
scaling_setting_019,Paraphrased wording,50000,,valid,3200.0,450.0
scaling_setting_019,Paraphrased wording,200000,,valid,15000.0,1200.0
scaling_setting_019,Concise wording,800000,,valid,48000.0,3200.0
scaling_setting_019,Concise wording,100000,,valid,4500.0,820.0
scaling_setting_019,Concise wording,50000,,valid,1800.0,320.0
scaling_setting_019,Concise wording,400000,,valid,32000.0,1400.0
scaling_setting_019,Concise wording,200000,,valid,7200.0,950.0
scaling_setting_019,No-change control,200000,,valid,8500.0,1450.0
scaling_setting_019,Irrelevant-number control,200000,200000.0,valid,7500.0,950.0
scaling_setting_019,Irrelevant-number control,200000,50000.0,valid,8200.0,750.0
scaling_setting_019,Irrelevant-number control,200000,400000.0,valid,8500.0,1250.0
scaling_setting_019,Irrelevant-number control,200000,800000.0,valid,12400.0,1325.0
scaling_setting_019,Irrelevant-number control,200000,100000.0,valid,10750.0,920.0
scaling_setting_020,Primary wording,200000,,valid,7200.0,1200.0
scaling_setting_020,Primary wording,50000,,valid,1250.0,320.0
scaling_setting_020,Primary wording,400000,,valid,15500.0,3200.0
scaling_setting_020,Primary wording,800000,,valid,24000.0,3200.0
scaling_setting_020,Primary wording,100000,,valid,2500.0,850.0
scaling_setting_020,Paraphrased wording,100000,,valid,1500.0,835.0
scaling_setting_020,Paraphrased wording,200000,,valid,4000.0,850.0
scaling_setting_020,Paraphrased wording,400000,,valid,9200.0,1450.0
scaling_setting_020,Paraphrased wording,800000,,valid,24000.0,1900.0
scaling_setting_020,Paraphrased wording,50000,,valid,1250.0,320.0
scaling_setting_020,Concise wording,100000,,valid,3800.0,520.0
